stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,paraxial_mesoderm,periderm
  3-4,55.54,0,0,0,0,0,0,0
  5-6,217.66,0,0,0,0,0,0,0
  7-9,10.88,0,10.86,0,0,98.65,4.9,0
 10-12,0,0,0,0,0,34.7,0,0
 14-21,0,0,0,1.29,0,0,0,0
 24-34,0,0,0,0,0,0.86,0,9.86
 36-46,0,0,0,0,0,1.36,0,0
 48-58,0,0,0,0.38,0.4,0,0,0.43
 60-70,0,0,0,0,0,0,0,1.66
 72-82,0,0,0,1.23,0,0,0,10.09
 84-94,0,0,0,0,0,0,0,14.83
 96-106,0,0,0,1.76,0,2.92,0,21.28
108-118,0,0.48,0,0,0,0,0,14.79
120,0,0,0,0,0,0,0,12.21
