stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.37,0.98,0,0,0,0,0,0,1.1,0,6.71,0,0,0,0,0,10.69,0,0,0,0,0,0,0,1.71,1.25,0,0,0
 24-34,0,0,0.69,0,1.72,0,0,0,0.65,0,0,0,0,0,0,1.94,0,0,21.75,0,0,0,0,0,0,0,0,5,1.02,0,0
 36-46,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,1.19,47.32,0,0,0,0,0,0,0,0,6.71,0,0,0
 48-58,0,0,0,0,9.59,0,0.82,0,1.33,0,0.64,0,0,0,1.04,0.47,0,0.54,37.86,0,0,0,0,2.69,0,0,0,5.96,0.96,0,0
 60-70,0,0,1.78,0,20.37,0.81,0,0,17.88,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2.58,0,0,0
 72-82,0,0,0,1.94,5.41,0,0,0,8.12,0,0,0,0,0.52,0,9.55,0,0,17.53,0,0,0,0,3.77,0,2.68,0,5.72,0,0.99,0
 84-94,0,0,0,0,9.1,0,0,0,2.41,0,0,2.84,0,0,0,0.62,0.61,0,20.57,0,0,0,0,7.19,0,0,0,1.74,0,1.63,0
 96-106,0,0,1.41,0,8.53,2.59,0,0,0.94,1.39,0,0.59,0,0,0,5.68,0,1.1,5.13,0,0,0,0,4.14,0,0.72,0,1.71,2.79,0,2.47
108-118,0,0,1.43,0,6.95,0,0,0.73,5.31,0.64,0,0.61,0,0,0.44,5.08,2,1.61,13.64,1.89,0.85,0,1.22,0.64,0.87,0.98,0,0,0,0.95,0
120,0,2.52,0,0,5.43,0,0,0,13.2,0,0,0,0,0,0,3.17,1.05,1.06,23.59,0,0,0,0,5.05,0,0,0,0,8.27,0,0
