stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,99.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.9,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0
  7-9,4.19,4.59,0,0,0,0,0,0,0,0,0,0,15.24,0,11.52,3.28,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,42.65,0,17.87,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,1.84,0,0,0,1.13,0,0,0.86,15.67,0,0.86,1.21,3.21,0,1.68,2.66,0,0
 24-34,0,0,0,0,0.6,0.61,0,0,0,0,0,0,13.42,0,0,0,0,0,0,4.73,0,0
 36-46,0,0,0,0,2.83,0,0.72,0,0,3.5,0,0.57,13.31,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,8.13,0,1.1,0,0.87,0.45,0,0,6.17,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,22.23,0.85,5.27,0,0,0,0,0.83,8.91,0,0,0,0,2.54,0,0,0,0
 72-82,0,0,1.19,0,1.62,0,2.22,0,0,2.25,0,0,10.07,0.81,0,0,0,0,0,0,0.61,0
 84-94,0,0,0,0,3.08,0,0,0,0,1.27,0.92,0.7,3.15,0.71,0,0,0,0,0,0,0,0
 96-106,0,0,0,9.94,20.19,0,5.15,0,0,1.2,0,0,12.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,12.58,0,0,0.56,0,5.54,0,0,5.71,0,0,0,0,0,0,0,0,0.99
120,0,0,0,0,17.33,0,0,0,0,0,0,1.12,2.04,0,0,4.47,0,0,0,0,0,0
