stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0.85,7.76,0,0,0,0,0
 24-34,0,1.6,0,0,1.99,0,0,0,0,3.65,0,0,0,2.25,0,0.71,140.54,0,0,0,0,0,0,70.16,0,0,4.74,0,0
 36-46,0,0,0,0,9.05,0,0,0,0,0,0,0,0,1.3,0,0,378.29,0,0,0,0.95,0,0,153.36,0,0,0,0,0
 48-58,0,4.38,0,0,39.53,0,2.27,0,0,0,0.97,0,0,3.05,0,7.36,699.32,0,0.84,0,0,0,0,155.18,0,0,0,0,0
 60-70,0,6.63,0,0,111.29,0,18.32,0,0,0,2.04,0,0,8.01,1.9,0.77,1259,0,0.89,0,2.95,5.67,0,219.4,0,0,0,0,0
 72-82,0,2.92,1.64,1.65,212.36,0,24.86,0.56,0.53,0,0.53,0,0,20.74,0,0.54,1821.85,0,0,0,0,0,0,184.18,0,0,1.94,0,7.96
 84-94,0,0.57,1.04,0,263.22,0.7,32.41,0,0.73,0,2.7,1.57,0,16.97,0,6.22,1251.07,0,0,3.45,0.84,0,0,106.71,0,0,0.62,2.23,3.46
 96-106,0,1.33,24.33,0,168.93,0.59,23.83,0,0.95,0,0.75,0,0,28.54,0,0,1103.94,0.69,0,3.33,0,0.64,0,87.28,1.13,0,0,0,0
108-118,0.52,3.72,1.18,0.45,234.19,0,58.93,0.5,0,0,0,0.45,1.73,2.17,0,0,1050.32,0,0,0.63,0.5,0,0,55.08,0.68,1,1.9,0,1.42
120,1.37,26.94,3.8,0,413.72,0,118.57,0,0,2.36,0,1.48,1.51,11.52,0,0,2783.18,0,0,13.55,4.7,1.63,0,148.23,0,0,0,0,0
