stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,0,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.09,0,3.28,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,26.39,0,0,0,6.92,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0.63,0,0,10.3
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0.61,0,0,0,0,0,0,1.73
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,0,0,2.67,1.51,0,1.11,0,0,0,0,1.98,0,0,0.88
 60-70,0,0,0,0,0,0.7,2.87,0,0,1.17,0,0,0,13.27,6.38,0,1.69,0,0,4.8,0,0,4.64,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.5,0,0,6.34,18.61,3.15,0,8.92,0,0,0,0,0,0,2.21,0
 84-94,0,0,0,0,0,0,0,0,1.92,0,1.05,0,0,17.63,3.95,0,0,0,0,0,0,0,4.46,1,0
 96-106,0,0,0,0.78,4.65,1.49,0,0.67,0,3.48,0,2.42,0,55.86,1.54,0,10.84,0,0,0,1.45,0,18.38,8.38,0
108-118,0,0,1.15,0,2.21,0,1.46,0,0,21.96,7.5,0,0,15.6,2.77,1.08,0,0,0,1.49,1.64,2.03,10.31,4.47,0
120,0,0,0,0,0,2.43,0,0,0,11.7,0,0,0,39.74,0,0,3.2,0,0,0,0,0,22.03,29.76,0
