stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.36,54.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.72,37.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,0,0,0,9.4,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0.93,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0.7,0,3.28,0,1.21,0,0,0,0,0,0,1.36,0,0,0,0
 48-58,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,28.32,0,29.1,0,0,0,0,0,0,0,0,0,6.03,0,0,0
 60-70,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,9.69,0,317.97,0.93,14.8,0,0,0,0,0,0,0,0,2.36,67.63,0,262.86,0
 72-82,0,0,2,0.58,0,64.93,0,0,0,5.52,0.59,0,0,0,0,0,34.44,0,518.52,4.96,63.06,0,0,0,0,22.46,5.64,0,0,1.07,198.46,3.82,1375.53,4.19
 84-94,0,0,3.45,10.72,0,72.97,0,0.55,0.64,3.92,0,0,5.4,2.52,0,0,31.4,0,580.4,0,66.51,0,2.99,0,0,4.54,0.85,0,0,3.84,234.43,2.17,1672.56,0.64
 96-106,0,0,17.29,0,0.9,117.29,1.84,5.45,1.88,5.42,0,0,0,12.18,1.51,8.05,69.07,2.71,480.31,16.08,80.67,1.27,0,0,0,83.91,8.61,0,0,0,123.38,1.03,2641.75,14.59
108-118,0,0,11.13,8.56,0,33.93,0,0.91,0,9.78,0.44,0,2.27,0,0.66,1.49,56.23,0,509.89,20.51,127.23,4.53,0.48,1.5,0,176.87,0,0.52,5.57,0,38.16,2.52,2487.1,0.46
120,0,0,12.1,0,0,38.56,0,0,0,5.72,1.94,0,0,0,0,0,28.61,0,549.99,3.02,50.43,0,15.9,0,0,99.2,0,1.87,0,0,158.24,0,4329.68,0
