stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,8.46,0,0,0,0,0,0,0,0,46.91,0,0,0,0,0,2.8,0,0,0.84,0,4.83,0,0,0
 24-34,0,0.61,3.23,0,0.66,0,0,0,0,0,223.97,3.16,0,0,0,0,20.03,0,0,0.82,0,10.8,0,0,3
 36-46,0,0,0,0,3.55,0,0,0,2.42,0,402.55,0,0,0.58,0,0,10.41,3.33,0,0,0.76,1.41,0,0,0
 48-58,0,0,6.04,0,14.57,0,1.07,0,1.5,0,446.11,0,0,1.08,0,0,42.1,0,0,0.45,0,4.14,0,0,0.41
 60-70,0,5.38,0,0,10.41,0,0,0,44.92,0,308.74,0,0,6.86,0,0,17.6,0,0,0,0,0,0,0,4.22
 72-82,0.91,0,0,0,6.86,0,0,0,87.37,0,436.7,0,0,20.78,0,0,39.54,0,0,0.75,0,0,0,0,3.39
 84-94,0,1.87,0,0,3.84,0,0,0,66.71,0,651.37,0.71,0,4.44,0,0.7,27.56,0,0,0.69,0,0,0,0,0.57
 96-106,0,9.88,0,0,4.53,0,0,2.67,54.29,1.7,670.84,0,0,5.96,1.61,0,28.73,0.87,0.76,6.83,0,2.14,0,3.26,8.66
108-118,0,0.72,3.59,0,15.18,0,0.61,0,115.56,0,529.35,0,0,8.7,0,0,32.13,0,0,0.42,0,1.02,3.18,0,2.12
120,0,0,0,2.02,6.94,2.01,1.62,0,182.99,0,460.54,0,1.13,10.25,0,0,28.58,0,0,1.39,0,0,0,0,0
