stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.36,115.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.96,397.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,0,6.05,0,0,0,22.21,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,194.19,4.46,0,0,27.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.27,12.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.77,0,0,0,45.32,0,4.49,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.76,7.85,0,0,8.08,0,0,1.06,0,0,4.35,0,0,0,0,0,1.08,5.74,0,11.45,47.6,0,0,0,0,0,0,1.38,3.57,11.59,0,3.37,13.02,0,0,0,7.24
 24-34,0,0,0,0,0,0,32.54,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,4.64,41.19,0,0,0,0,0,0,0,0,21.33,0,0.82,4.72,0,0,0,0
 36-46,0,0,0,1.23,0,0,39.68,0,1.9,0,0,0,0,0.68,0,0,0,0.85,0,18.28,0,1.54,32.69,0,0,0.59,0,0,1.06,0,0,8.63,0,0,4.31,0,0,0,2.87
 48-58,0,0,0,6.89,0,0,192.55,0,6.16,0.68,0,0,0.55,0,0,0,0.65,1.37,0,11.54,0,7.95,73.42,0,0,0,0,0,0.55,0,0,15.39,0,0,5.29,0,0.51,0,11.62
 60-70,0,0,0,0,0,0,901.09,0,1.26,1.16,0,0,0,0,0,0,0,2.38,0,32.61,0,0,58.76,0.75,0,0,0,0,0,0,0,19.25,0,0,2.43,0,4.32,0,9.16
 72-82,0,0,0,6.38,0,0,1004.85,0,7.49,3.76,2.35,0,0,0.54,0,2.72,0,0,0,39.35,0.75,2.25,55.8,0,1.35,0,0,1.1,0,0,0,13.14,1.05,0,6.37,0,2.75,0.76,17.28
 84-94,0,0,0,6.08,0,0,917.35,0,11.54,8.16,1.65,0,0,0.75,0,0,0,0.84,0,53.56,0,8.39,49.35,0,0,0,0,0,0,0,0,17.29,0,0,6.38,0.84,0.97,0,0
 96-106,0,0,0,6.91,1.03,0,713.19,0,16.38,12.91,6.46,0,0,1.47,0.66,0,0,0,0,56.62,0,0,52.11,0,0.57,0,0,0,3.12,0,0,20.11,1.39,0,0,1.27,3.93,2.85,0.73
108-118,0,0,0,4.39,8.07,1.01,701.63,0,10.08,7.36,4.62,0,0,1.39,0,3.66,0,1.55,0,59.42,0,6.44,53.5,0,0,0,0,3,2.71,0,0,21.29,0,0,0,0,1.54,0,6.43
120,0,0,0,3.67,0,0,564.8,3.44,17.11,0,1.73,0,4.47,2,0,8.53,0,4.9,0,55.31,2.76,0,64.97,0,0,1.28,0,0,0,0,0,10.99,0,0,0,0,4.33,14.75,0
