stage,erythrocytes,eye,mesenchyme,neural,periderm,somites
 14-21,0,0,0,0,0,0.86
 24-34,0,2.71,0,5.54,0,0
 48-58,0,0.46,0,9.5,0,0
 60-70,0,0.73,2.91,5.64,0,0
 72-82,0,0,0,6.22,0,0
 84-94,0,3.25,0.91,0,0,0
 96-106,0,0,0,2.07,0,0
108-118,0,0.92,0,7.37,0,0
120,23.03,0,0,0,5.36,0
