stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.59,557.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.62,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,493.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,29.98,0,0,0,0,0,0,0,0,0,0
  7-9,9.77,3.78,85.63,0,0,0,15.98,0,0,0,0,0,24.19,0,0,0,0,0,0,0,0,0,0,0,391.07,19.29,0,0,111.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,11.96,0,0,0,22.51,0,0,0,0,0,14.63,0,0,0,0,0,0,0,0,0,0,0,164.94,21.83,0,0,131.81,0,3.07,0,17.01,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.35,243.26,0,12.47,0,0,0,1.51,0.82,0,0.89,0,0,0,0,1.46,0.88,5.56,0.82,0,27.92,90.45,4.64,0,0.94,0.86,0,17.03,6.28,0.86,0,39.36,23.88,0,0,702.6,0,1.88
 24-34,0,0,1.81,4.04,66.1,0,18.43,0,0,1.5,1.52,0,1.15,8.22,0.67,0,0,0.85,0,0,18.9,0,0,18.11,167.89,13.21,0,0.67,0,0,14.47,1.1,5.9,1.32,13.68,36.1,0,0,4142.45,0,0
 36-46,0,0,0,1.21,7.89,0,38.01,5.45,0,0,5.1,0,0,0,0,0.72,1.11,0.56,0,7.23,21.36,0,0,7.35,184.1,8.2,0.93,0,0,0,15.66,0,0.58,3.26,0,37.6,0,0,2347.1,0,5.5
 48-58,0,0,0,4.51,10.75,0,36.59,2.43,0,0,5.21,0,4.42,0.65,1.91,0,0,0,12.44,9.17,9.36,0.95,0.69,3.17,101.4,5.42,0,1.08,0,0,3.74,0,0,0,0,10.72,0,0.51,1507.57,0,2.57
 60-70,0,0,0,3.2,0,0,39.73,0.7,4.64,0,9.82,0,0,0,2.38,0,0,2.21,3.09,0,20.23,0,4.13,2.75,75.12,0.62,0,4.53,0,0,1.4,0,0,3.45,0,13.44,0,0,1042.41,0.81,0.7
 72-82,0,0,0,2.54,8.1,0,38.68,0,0,0,9.54,1.64,0,0.58,0,0,1.78,0,0,0,33.59,0.94,0,1.91,65.57,0.75,0,8.53,0,2.24,1.72,0,0,3.87,0,5.68,0.69,0,797.97,0,2.08
 84-94,0,0,0,5.53,5.8,0.76,34.05,2.21,0.61,1.28,9.8,0.92,0,0,0.79,0.64,0.67,0,7.12,0,27.44,3.42,0.65,3.33,35.02,14.7,0,0.61,0,0,7.24,0,0.67,0,0,14.25,1.44,0.56,1139.15,1.73,0
 96-106,0,0,0,3.85,12.39,0,28.79,0.57,0,1.77,8.59,1.54,0,0,5.57,0.58,0,0,0,0.68,17.42,1.91,0,2.7,61.78,5.84,0,14.58,0,0,7.61,0,0,0,0,5.87,0,0,843.94,1.76,2.21
108-118,0,0,0,8.24,14.59,0,44.19,1.3,1.28,0,17.09,3.51,0,0,10.72,1.38,6.49,0.51,8.92,0,42.01,0,0,3.96,93.07,1.47,0,14.34,0,0,7.58,0,1.29,0,0,0.92,0,0.85,767.81,0,0.52
120,0,0,0,1.66,9.49,0,14.35,0,1.23,0,12.18,0,10.41,0,3.58,1.48,0,1.6,0,0,44.49,0,0,0,40.78,8.16,0,0,0,0,3.84,0,0,0,0,0,0,0,797.21,0,0
