stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,taste,vascular_smooth_muscle,vasculature
  3-4,53.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.56,0,6.53,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.24,0,7.55,0,3.11,0,0,0
 14-21,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,47.72,0,0,0,0.63,0,0,0,0,0,0,0
 36-46,0,0,0,5.18,0,0,0,20.81,0,0,0,1.13,0,0,0,0,0,0,0
 48-58,0,0,0,6.43,0,0,0,5.31,0,0,0,0.78,0,0,0,0,0,0,0
 60-70,0,0,0,11.49,0,0,0,11.9,0,0,0,3.58,0.62,0,0,0,0,0,0
 72-82,0,0,0,21.92,7.66,0,0,16.84,0,0,0,1.67,0,0,0,0,1.58,0,0
 84-94,0,0,0,78.2,0,1.15,0,18.17,0,0.87,0,1.53,0,0,0,0,0,0,0
 96-106,0,0,5.47,149.48,0,2.16,1.15,64.61,0,0.85,0,21.29,0,0,1.49,0,0,0,2.32
108-118,0,0.47,0,249.14,0,0,0,160.31,0,5.49,1.8,23.59,0,0,8.5,0,0,1.37,0
120,0,0,9.95,124.4,0,0,0,132.64,3.89,0,0,10.01,0,0,0,0,0,0,0
