stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,214.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0
  5-6,9.19,315.11,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.95,0,19.8,0,0,0,0,0,0,0,0,141.39,7.53,0,53.69,0,4.77,0,0,0,0,0
 10-12,0,0,3.18,0,9.07,0,0,0,0,0,0,0,0,123.97,0,0,41.95,0,9.34,4.61,6.22,0,0,0
 14-21,0,0,0,1.86,0,0,0,0,0,0,0,1.94,0,10.83,0,0,0,0,0,0,0,4.86,3.62,0
 24-34,0,0,0,0.63,4.44,0,0.89,0,0,1.39,0,3.11,0,29.18,0,0,0,0,0,0,0,0,8.28,0
 36-46,0,0,0,0.86,1.42,0,0,0,0,0,0,0,1.23,15.46,0,0,0,0,0,0,0,0,8.05,0
 48-58,0,0,0,3.8,12.44,0.55,2.85,0,0,0,0,1.32,0.45,18.63,0,0,0,0,0,0,0,0,5.24,0
 60-70,0,0,0,0,14.49,0,5.95,0,0,0,1,3.87,0,4.61,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.44,1.22,0,0,0,0,7.1,0,11.38,0,1.07,0,3.09,0,0,0,0,2.67,0
 84-94,0,0,0,2,0,0,3.9,0,1.01,0,0,0,0,4.53,0,0,0,0.57,0,0,0,0,8.12,0.83
 96-106,0,0,0,0.65,1.41,0,8.38,0.83,0,0,0,7.78,0,9.66,0,0,0,0.69,0,0,0,0,0,0.57
108-118,0,0,0,0,4.16,0,0,0.64,0,0,0,4.02,2.79,10.22,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,6.27,0,7.83,0,0,0,0,0,3.67,18.24,0,0,0,0,0,0,0,0,0,0
