stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.63,378.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  5-6,15.35,369.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.96,5.65,7.57,0,0,26.08,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,180.01,3.24,0,0,33.72,0,11.11,0,0,0,0,0,0,0
 10-12,0,0,11.61,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.09,0,0,0,85.88,0,0,3.57,7.73,0,0,0,0,0
 14-21,0,0,0,1.75,0,0.87,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,23.37,1.39,0,0,0,1.29,0,2.52,1.13,2.91,5.53,0,0,0
 24-34,0,0,0,0.6,0,3.48,0,0,0,0,0,0,0,0,8.2,0.65,1.77,0,0,0,29.38,0,0,0.88,0,1.52,0,0,0,0,11.9,0,5.07,0
 36-46,0,0,0,0,0,4.16,0,0,1.05,0,0,0,0,0,0,0,3.03,0,0,0.55,61,1.09,0,0,0,1.53,0.78,0,0,0,7.7,0,0,0
 48-58,0,0,0,0,0,27.4,0,0,2.22,0,0,0.5,0,0,0,0,4.25,0,0.7,3.59,30.44,0,0.38,2.22,0,0,0,0,0,0,5.15,0,0.85,0
 60-70,0,0,0,4.01,0,15.61,0,0.73,5.94,0,0,0,0,0,0,0,0.82,0,0,0,61.69,5.17,4.74,0,0,3.02,0,0,0,0,8.91,1.93,0,3.78
 72-82,0,0,0,0.8,0,32.78,0,0,3.38,0,0,0,0,0.7,0,1.06,4.08,0.58,0,1.27,41.05,0,1.18,0.58,0,0,0,0,0,0,5.47,0,0.82,0
 84-94,0,0,1,0.68,0,2.29,0.9,0,0,1.03,0,1.14,0,0,0,0,9.22,0,0,0,27.06,0,0,1.3,0,1.17,0,0,0,0,4.22,0,1.71,0
 96-106,0,0,0,0,0,7.38,0,0,0,1.54,0,0,0.94,0,0,0,12.6,0,0,0.88,26.26,0,0,0,0,0,3.82,0,0,0,5.04,0,2.93,0
108-118,0,0,0,0.88,0,6.27,0.42,0,5.55,0,0,0,0.69,0.71,0,0.94,3.91,0,5.36,0,32.76,0,1.33,0.94,0,2.15,0,0,0,0,5.65,0,3.41,0
120,0,0,0,4.59,0,0,0,0,14.8,0,0,0,0,0,0,0,26.63,0,0,0,67.37,0,0,0,0,1.71,0,0,0,0,0,0,0,4.37
