stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.89,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,287.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.03,0,0,0,27.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.75,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.19,3.02,0,0,0,0,1.09,1.01,0,0,0,0,0,0,0,3.79,0,2.45,39.79,0,0,0,1.19,0,1.79,7.27,1.63,3.52,6.55,14.6,0,0.81,0,0
 24-34,0,0,0.65,0,2.57,0.69,3.77,0,0,0,0,0,2.01,1.3,2.37,0,0,0,0,4.22,0,1.56,69.28,0,3.23,1.37,0,0,11.45,0,3.04,0.61,2.37,9.63,0,4.04,0,4.82
 36-46,0,0,0,0,3.06,0,4.59,0,0,0,1.02,0,0,0,0,0,0.62,0,0,0.58,0,0,35.06,0,0,0,0,0,1.6,0,0,0,0,9.08,0,0,0,0.64
 48-58,0,0,0,0,4.58,0,10.27,0.62,0.41,0.47,1.94,0,0,0,0,0,0,0,0,0.87,0.39,0.73,16.98,0,0.38,4.27,0,0,1.03,0,0,0,0,4.79,0,0.56,0,0
 60-70,0,0,0,0,0,0,24.7,0,0,0,1.94,0,0,0,0,3.41,0,0,0,12.23,0,0,14.48,0,1.82,0,0,0,1.29,0,0,0,0,4.13,0,0,0,0
 72-82,0,0,0,0,3.61,0,31.23,0,0,0,3.36,1.99,0,0,0,0,0,0.54,0.49,7.34,0,0.58,23.95,0,3.54,2.33,0,1.2,0.51,0,0,0,0,1.97,2.68,0,1.19,0
 84-94,0,0,1.62,0,2.58,2.39,22.22,0,0,0,7.64,0,0,0,0,0,0,0,0,6.01,0,0.65,13.76,0,0,0,0,0,6,0,0,0,0,0,0,4.22,0,0
 96-106,0,0,0,0,4.86,0,18.26,0,0,0.75,0,0.57,0,1.58,0,0,0,0,0,4.52,1.74,0,7.72,0,0,0,0,0,1.5,0,0,0,0,1.25,1.57,1.38,0,1.22
108-118,0,0,0,0,2.47,1.56,16.45,0,0,0,0,0.42,0,0,2.11,0,0.49,0,0,1.92,0,0,15.74,0.41,0,1.96,0,0,2.62,0,0,0.43,0,0,0,0.5,0,0
120,0,0,0,0,0,2.68,1.55,0,0,0,0,0,0,1.52,0,0,2.11,0,0,0,0,2.55,16.77,0,3.36,2.28,0,0,0,0,0,0,0,0,0,0,0,0
