stage,epidermis,eye,immune,muscle,neural
 24-34,0,0,0,0,2.19
 48-58,1.74,0,0,0,1.1
 60-70,0,3.12,0,0,1.13
 72-82,0,1.5,0,0,0
 84-94,0,0,1.11,0,2.01
 96-106,0,0,0,1.42,0
120,0,0,0,0,11.49
