stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.21,691.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.68,0,0,0,0,0,0,0,0,0
  5-6,14.35,476.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.76,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.55,0,0,0,7.89,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.62,9.71,1.08,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,2.77,0,0,0,66.07,0,2.46,0,0,0,9.27,0,0.87,0.9,41.08,0,0,0,0,0
 24-34,0,0,2.22,22.79,0,7.86,0,0,0,3.48,0,0,8.93,18.3,1.28,0,1.81,0,4.48,10.1,3.87,0,0,477.34,0,25.3,0,0,0,33.9,0,0,0,157.82,0,0,6.49,0,0
 36-46,0,0,0,15.38,0,27.7,0,0,0,2.39,1.89,0,0,53.2,17.16,0,0,0,0.86,9.81,1.29,0,0,865.48,0,11.21,0.8,0,0,31.45,0,0,8.1,185.88,0,0,5.59,0,0
 48-58,0,0,1.43,19.55,1.69,142.19,0,2.28,6.78,22.06,0.97,0.75,0.69,32.23,0.37,0,0,2.07,1.97,20.17,6.01,0,4.11,1207.25,0.41,8.47,0.64,0,0,29.84,0,0,0,181.04,0,0,8.21,0,0
 60-70,0,0,0.82,24.55,9.42,323.98,0,0,0,35.45,0.63,0,0.87,53.71,0,0.87,1.66,0,1.47,30.22,9.95,0,2.52,1513.75,0,11.57,7.18,0,0,43.54,0,0,1.17,151.65,0.77,0,8.07,0.89,0.79
 72-82,0,0,5.21,16.95,1.7,398.2,2.62,4.44,0.54,47.43,1.1,0,0.7,33.42,0,0,4.58,1.4,1.28,30.23,13.58,0,0,1395.17,0,3.71,3.47,0,0,18.52,0,0,1.23,88.64,4.87,4.41,27.09,1.76,0.67
 84-94,0,0,8.58,18.28,7.23,325.27,0,3.73,0,43.95,6.61,0,0,67.58,4.13,0,3.88,1.4,2.87,24,3.54,0,4.28,871.92,0,11.75,3.18,0,0,26.67,0,0,0,45.12,2.32,0,1.52,0,0
 96-106,0,0,3.27,20.82,14.9,308.46,0.59,1.02,3.92,44.45,6.77,0,0,57.6,1.68,5.69,5.55,2.16,0.65,46.13,10.44,1.88,4.07,819.35,0,9.95,3.86,0,4.28,29.59,0,0,0,35.32,3.42,0,18.49,4.77,0
108-118,0,0,10.15,28.41,0.98,342.75,2.19,4.08,2.6,70.05,5.92,0,0.8,63.37,2.24,4.89,4.23,4.86,0.54,64.62,7.52,1.32,0.59,1079.44,0,20.95,1.85,0,5.49,19.83,0,0,0,22.92,3.07,0,8.57,0,7.98
120,2.82,0,3.64,45.63,0,483.33,2.44,10.38,3.97,211.93,25.16,0,0,109.92,7.66,7.17,16.18,0,0,69.47,2.73,6.75,1.49,2633.21,0,9.7,0,0,0,16.77,0,0,0,95.55,5.5,0,44.33,0,0
