stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.81,0,0,0,19.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.93,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0.98,0,0,0,0,0.9,1.37,0.82,5.35,0,0,0,0,0
 24-34,0,1.48,8.52,1.21,0,4.45,0,0,0,0.87,0,0,0,0,0,0,0,0,1.4,0,0,0,181.92,0,6.31,0,0,0,0,0,0,0,73.32,0,0,0,0,0
 36-46,0,0.77,2.57,0,0,35.63,0,0,0,4.42,0,0,0,0,0,0,0,0,3.08,0,0,0,508.23,0,3.9,0,0,0,1.41,0,0.7,0,122.62,0,0,0,0,0
 48-58,0,0.53,22.24,0,0,86.29,0,0,0.94,19.94,0,0,0,0,0,0,0,1.49,3.2,0.52,0,7.09,944.26,0,3.48,0.82,0,0,0,0,0,0,135,0,0,0.87,0,0.63
 60-70,0,2.42,8.56,0,0,534.69,5.02,0.62,0,75.67,0,0,0,0,0,2.82,0,0.72,9.8,0,0,0,1713.45,0,0,8.65,0,0,10.29,0,0,0,298.05,0,0,0,0,0
 72-82,0,0.5,15.47,4.77,0,800.12,0,0,2.05,108.84,2.41,0,0,0,0,0,0,0,23.66,0,0,4.51,2920.42,1.23,0,5.76,0,1.77,2.07,0,0,0,321.12,0,2.68,15.15,0,2.33
 84-94,0,0,18.4,8.27,0,691.66,0,10.73,3.32,110.74,0,0,0,3.52,0,2.83,0,0,35.65,0.84,0,2.25,2008.6,0.65,0,4.69,0,0,3.74,0,0,0,265.94,0,1.91,2.67,0,0
 96-106,0,1.25,20.22,21.02,0,820.74,0.9,0,6.2,88.42,0,1.32,1.61,0,0,0.58,1,4.68,21.66,0,0.93,2.3,2119.61,0,0,7.4,0,0,5.07,0,0,0,134.91,4.04,0,0.88,1.03,0
108-118,0,0,25.2,3.02,1.2,893.77,1.09,0.52,0.77,106.82,0,0,0,0.71,3.1,5.45,1.87,6.19,27.8,0,0,0.84,2293.46,0.56,0,5.02,0,0,0.45,0,0,0,68.53,0.89,0,1.63,2.12,7.8
120,0,4.34,18.03,0,0,921.76,5.82,0,0,134.78,0,0,0,0,0,0,1.54,12.65,47.76,0,0,2.55,4529.25,0,17.09,4.69,0,4.76,11.05,0,0,0,144.63,0,0,4.82,0,17.04
