stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.53,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,0,0.81,0,0.96,0,0,0,0.89,0,0,0,0,0,0.9,17.32,0,0,0,0,0,0,0.9,1.83,1.13,0.88,0,0,0,0,0
 24-34,0,0,0,0,0,4.6,0,0,1.15,0,0,0,0.78,0.68,0,6.19,50.48,0,0.94,0,1,0,0,0,0,0.62,16.48,0,0,2.01,0,0
 36-46,0,0,0,0,0,1.76,0,0,0,0,0,0,0,2.08,0,4.32,48.17,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,4.42
 48-58,0,0,0,0,0,29.59,0,0,9.09,0,0,0,0.53,18.37,0,5.95,139.77,0.71,0.65,0,0,0.56,0,0,0,0,22.08,0,0,2.85,0,0
 60-70,0,0,2.51,0,0,24.67,0,0.76,13.08,0,0,0.89,5,14.19,0,0.72,123.57,0,0,0,0,0,0,0,0,0,23.94,0,0,2.45,0,0
 72-82,0,0,0,0,0,106.45,0,0.9,17.91,0,0,0,2.16,16.68,0,0,227.32,0,0,0,0,0,0,0,0,0,32.75,0,0,1.38,0,0
 84-94,0,0,3.56,0,0,58.8,0,0,12.02,1.06,1.71,0,3.45,9.02,1.68,0.66,122.23,0,0,1.98,0,0,0,0,0,0,9.62,0,4.46,0,0,0
 96-106,1.12,0,3.44,0,1.05,107.24,10.23,0,43.56,0,1.73,2.87,1.06,21.47,0,0,158.92,0,0.61,0,0,0,4.37,0,0,0,9.53,4.97,0,11.28,0,0
108-118,0,0,0.76,0,0,66.81,0,0,20.44,0,0,1.87,3.1,18.19,0,2.24,217.47,0,0,0,0,0,0,0,0,0,12.06,0,0,0,1.2,1.25
120,0,0,2.14,0,14.33,95.42,0,0,16.96,0,0,0,0,14.43,0,0,304.5,0,0,4.58,0,0,0,0,0,0,38.5,0,0,4.02,0,0
