stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.21,3472.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.16,0,0,0,0,0,0,0,0,0
  5-6,12.98,268.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,0,0,0,0,16.73,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,11.5,0,0,13.92,0,15.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.82,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.39,0,0,9.21,0,0,14.83,0,0,0,0,7.58,14.72,0,0,1.83,0,0,0,3.18,0,0,0,38.69,18.33,0,16.06,1.59,0.92,0.9,0,4.31,22.46,0,0,0,0,0
 24-34,0,0,4.45,7.41,0,0,5.64,0,0,0,5.6,4.68,5.09,0,0,5.11,0,0.68,0,0,3.05,0,0,64.43,104.35,6.49,12.81,0,8.31,0.86,1.85,0.64,19.5,0,0,0,0,0
 36-46,0,0,0.84,1.83,0,0,3.35,0,0,0,3.72,3.88,0,0,0,2.11,0,2.68,0.56,14.07,1.35,0,0,51.05,71.1,9.56,7,0,3.4,0,17.84,0,16.25,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.47,0,0,1.93,11.95,0,19.93,0.89,0,0.57,0,0,9.86,128.37,1.2,0,1.07,27.77,30.46,3.04,9.15,0,0.91,0,0,0,10.93,0,0,0,0,0
 60-70,0,0,0,9.34,0,0,15.25,0,0,0,7.31,0.88,7.78,0.88,0,1.62,0,0,0,367.92,0,0,5.69,23.48,28.14,5.44,25.56,0,9.29,0,3.31,0,7.71,0,0,0.64,0,0
 72-82,0,0,0,11.34,0,0,23.95,0.7,0,4.15,21.01,7.79,2.2,0.58,1.25,0.56,1.78,0.6,0,723.84,2.35,0,0.49,25.19,10.74,6.25,33.68,0,6.96,0,1.65,0,7.1,0,0,1.1,2.01,0
 84-94,0,0,0,4.84,1.26,0,17.81,0,0,3.7,8.3,27.51,3.59,0,0,2.32,0,4.64,0,591.25,0,0,1.98,17.78,13.2,15.86,32.5,0,22.66,0,3.01,0,8.13,1.96,0.77,9.39,0,0
 96-106,0,0,0,11.64,0,0.98,10.08,0,0,3.26,15.16,48.47,2.12,1.72,0,4.91,0.57,2.32,0,405.38,7.2,4.3,0,31.06,10.87,35.46,42.65,0,17.43,0,1.47,0,2.63,5.17,2.88,1.84,0,1.21
108-118,0,0,0.74,10.4,2.74,0,19.93,0,0.56,0.77,22.36,59.16,0,0.56,0.62,2.99,1.03,6.82,8.73,327.56,15.94,0.56,0,31.29,14.45,17.98,65.53,0,6.67,0,1.48,0,0,5.18,0,0,0,0
120,0,0,0,24.58,10.56,0,3.03,0,0,5.64,33.91,15.57,0,0,4.31,1.28,0,0,0,435.12,0,0,0,48.82,12.12,25.19,22.11,0,10.4,0,1.04,0,0,1.06,0,0,0,0
