stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,7.36,0,0,11.15,0,0,0,0,0,3.11,0,0,0,0,0,0
 14-21,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,233.04,0,14.72,0,0,0,0,0,0,7.09,0.88,211.15,0,0,0,0,0
 24-34,0,0,8.46,0,5.17,0.61,0,20.88,0,0,0,3.5,0,0.86,0,0,0,0,15.35,3.4,11.62,0,0,2.38,2080.25,0.7,121.64,2.36,0,0,1.52,0,0,0,1.4,934.28,0,0,6.03,0,0
 36-46,0,0,4.21,0,25.28,0,0,69.96,0,1.39,0,6.05,0,1.84,0,0,0,0,0,13.02,17.87,0,0,2.75,4341.82,0,196.15,6.73,0,0,8.56,0,0,0,0,1280.4,0,0,8.22,0,3.28
 48-58,0,0,3.06,0,39.61,7.39,0,485.93,1.25,0,3.67,41.08,0.38,0.54,7.69,0,2.19,0,0,17.72,35.92,0.42,2.52,6.85,7300.94,1.2,86.62,2.81,0,0,14.52,0,0,1.32,0,1231.82,0,0,3.74,0,10.84
 60-70,0,0,2.86,0,18.96,0.61,0,2086.41,0,1.33,9.86,101.86,4.91,0.6,1.42,4.25,2.76,0,0,27.43,47.63,0,3.88,0.95,10001.13,0,91.63,5.02,0,0,14.08,0,0,0,0,1239.73,0,1.51,4.07,0,0
 72-82,0,0,16.54,0,54.67,5.38,0,4777.25,0,4.46,22.78,177.68,5.32,0.93,5.31,1.26,2.06,0.49,4.26,6.25,84.99,0,1.11,3.95,13563.4,6.63,130.73,0.91,0,0,3.77,0,0,0,0,913.88,3.98,3.83,5.89,0,26.07
 84-94,0,0,11.78,0,84.92,16.14,0,3425.55,0.68,5.33,1.31,164.07,12.22,1.27,9.54,1.76,4.35,0.69,0,15.97,78.34,0,1.75,5.79,9125.8,1.29,94.93,12.32,0,0,13.09,0,0.83,0,0,736.44,7.73,7.84,2.58,9.44,0
 96-106,0,0,17.46,1.07,45.33,39.88,16.37,3783.02,2.02,4.26,2.59,159.93,8.73,3.89,1.33,1.81,3.42,0,9.82,13.48,91.8,3.31,3.43,4.07,8858.04,0,174.89,4.09,0,3.01,35.7,7.94,0,4.8,0,272.36,10.9,4.74,12.08,2.07,18.16
108-118,0,0,19.75,0,64.69,3.65,3.41,3447.7,3.91,9.46,4.57,231.76,11.19,0,1.9,1.23,4.56,0,4.66,10.35,75.04,1.92,4.08,4.9,8881.41,1.37,108.48,3.7,0,1.8,15.51,0,2.25,0,0,272,19.15,0,8.77,5.54,8.81
120,2.82,0,11.06,0,93.45,15.24,1.71,3497.43,1.01,12.39,5.72,396.16,16.72,0,6.11,2.19,19,0,11.82,1.64,137.52,3.49,10.79,25.86,16035.95,10.52,145.02,29.59,0,23.21,4.51,0,0,0,0,685.18,2.24,0,13.63,11.12,3.14
