stage,epidermis,mesenchyme,mural_cell,neural,otic
 24-34,0,0,0,1.88,0
 36-46,0,0,0,5.26,0.82
 48-58,0,0.55,0,0,0
 60-70,3.2,0,1.12,0,0
 84-94,0,0,0,1.3,0
