stage,blastomeres,epidermis,eye,glial,ionocyte,iridophores,mesenchyme,neural,spinal_cord,vasculature,xanthophores
  3-4,17.72,0,0,0,0,0,0,0,0,0,0
  5-6,11.33,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.68,0,0,1.4,0,0,0
 48-58,0,0,0,0,0.38,0,4.12,0,0,0,0.49
 60-70,0,6.57,1.26,0,1.55,0,140.34,2.47,0,0,0
 72-82,0,0,2.32,0,1.02,3.51,276.67,0,0,1.81,0
 84-94,0,3.87,15.92,0,5.61,0,195.76,0,0,0,0
 96-106,0,2.43,1.98,3.35,11.52,0,89.35,1.3,1.18,0,0
108-118,0,0,0,2.65,6.15,0.55,17.78,5.91,0,0,0
120,0,0,0,0,9.82,0,54.18,0,0,0,0
