stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.48,20.63,5.53,0,8.62,0,0,0,6.34,1.09,0,0.92,0,1.77,0,0,0,0,18.78,0,0,18.54,141.32,5.96,0,0,3.3,0,13.09,15.41,1.27,0,16.76,55.1,0,0,0,0,0
 24-34,1.26,0.86,8.37,0.67,0,27.92,0,0,1.33,13.11,1.34,0,1.24,1.02,5.22,0,0,3.11,1.7,28.87,1.5,0,7,341.41,3.03,19.41,2.82,0,0,51.52,0,0,0,5.25,71.48,0,0,6.89,0,1.32
 36-46,0,0,16.19,0,0,36.73,0,0.62,0.95,11.08,0,0,0,0,0.56,0,0.72,0,0,30.16,0,0.57,7.37,270.74,0.82,21.02,7.23,0,0,48.79,0,0,0,0,62.48,0,0,19.27,0,2.21
 48-58,0.59,0.5,7.11,0,0,79.85,0.68,5.25,0.95,33.12,3.41,0,2.67,0,0,0,0.39,0,0,26.2,0.82,0.66,4.32,253.22,1.03,13.69,2.88,0,0,57.93,0,0,0,0,58.91,0,0,3.29,0,0
 60-70,0,0,3.43,0,0,93.09,0,2.81,1.33,30.62,0,0,0,0,9.45,0,0.66,1.35,0,48.33,0,10.08,12.84,275.28,0,9.06,15.56,0,0,43.87,0,0,0,0,25.34,0,1,0.99,0,5.86
 72-82,0,0,5.96,0,0,104.81,0,0.62,2.34,18.3,2.47,0,1.56,1.07,2.95,0,0.81,0,1.36,47.09,4.26,7.66,4.97,194.84,0.69,14.84,1.64,0,0.84,26.36,0,2.09,0,0,23.79,0.5,0,5.17,0.77,0
 84-94,5.21,0,16.73,0,3.44,51.81,0,5.31,1.6,16.03,0.71,0.99,1.45,0.75,2.41,9.96,2.5,3.65,5.72,14.39,0,5.05,2.43,186.96,0,9.58,5.94,0,0.57,96.93,0,0.62,0.57,0,7.93,2.97,1.15,5.15,0,0
 96-106,0,1.03,8.24,11.48,0,46.45,0,1.42,8,25.82,1.8,0,0,0.83,0,0,4.51,4.69,0,31.72,1.52,2.61,2.39,147.61,4.18,20.78,3.28,0,1.16,82.37,0,0.7,0,0,13.47,0,1.5,6.18,0.83,0
108-118,0.41,0.98,18.52,0,9.44,42.95,0,1.67,0.68,13.79,4.85,0,0,4.8,0.93,0,2.33,5.11,1.35,23.65,3.29,2.21,4.71,141.15,0,10.06,0.88,0,1.22,71.23,0,0,0,0,9.33,1.37,0,6.81,0.68,1.25
120,0,0,32.91,0,0,43.39,0,4.99,0,41.04,0,0,0,0,3.89,0,2.13,1.08,0,84.36,0,0,1.01,146.87,14.74,13.16,8.85,0,0,68.16,0,0,0,0,7.32,6.74,0,0,0,0
