stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,58.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,3.5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,4.76,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.91,0,0,0,11.91,0,0,0,0,1.42,0.86,2.56,6.56,0,0,0,0,0
 24-34,0,0,1.14,0,0,0,5.89,0,0,0.86,0,0.89,1.02,0,0,0,9.19,0,0,0.77,75.74,0,0,0.82,0,6.67,0,0.71,19.91,0,0,2.06,0,0
 36-46,0,0,0,3.98,0,0,27.94,0,0,2.01,0,0,0.64,0,0,0,5.22,0.59,0,1.13,126.99,0,0,0.69,0,0.99,0,0,24.97,0,0,0,0,0
 48-58,0,0,0,3.99,0,0,71.8,0,0,10.01,0,0,0,0,0.46,0,7.03,0,0,0,110.97,5.46,0,0.69,0,1.65,0,0,14.29,0,0,1.36,0,0
 60-70,0,0,0,0.97,0,0,243.94,1.7,0,7.15,0,0,0.65,0,0,0.63,12.32,0,0,0.99,130.76,0,1.02,0,0,0,0,0,12.35,0.84,0,0,0,0
 72-82,0,0,0,1.58,0.51,0,253.81,0,0,4.44,0,0,0,0,0,0,12.76,0,0,0,68.62,0,1.14,2.99,0,0.54,0,0,3.14,0,0,1.96,1.62,3.86
 84-94,0,0,0,0.57,0,0,221.43,0,2.83,4.44,0,0,0,0,0,0,7.25,0,0.58,0,70.25,0,0,0,0,9.53,0,0,13.09,0,1.08,0,0,0
 96-106,0,0,0,2.81,0,0,176.6,0,0,6.99,0,0,0,0,1.02,0,6.53,0,4.61,0,45.86,0,0,2.41,0,3.42,0,0,0,0,0.76,0,0,0
108-118,0,0,0,2.88,1.42,1.99,156.4,0,0.62,8.25,1.16,0,0.5,0.49,0.78,0.6,5.43,0.42,2.74,0,52.55,0,0,0,0,3.47,0,0,5.04,0.46,0,0.5,0,0
120,0,0,0,0,0,0,179.68,0,0,0,0,0,5.95,0,0,0,5.34,0,0,1.12,24.16,0,0,0,0,0,0,0,0,0,0,2.97,0,0
