stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,14.1,37.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,66.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.21,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,82.99,0,0,0,8.58,0,0,0,0,0,0
 10-12,0,5.04,0,0,0,0,10.09,0,0,0,0,0,0,0,0,0,0,0,153.19,0,0,0,21.99,0,0,0,0,0,0
 14-21,0,0,0,2.49,1.79,0,55.67,0,0,1.01,0,0,0,0,0,0,0,0,220.01,0,0,0,0.89,0,0,7.3,2.76,14.14,0
 24-34,0,0,0.81,1.92,0.76,0,274.17,2.14,0,2.89,0,0,0,0,0.74,0.7,0,0.78,193.84,0.75,0.85,0.63,0,0,0,0,1.31,22.96,2.58
 36-46,0,0,0,1.66,0,0,225.09,0,0,3.53,0,0,0,0,0,0.7,0,0,119.73,0,0,0.57,0,0,0,0,0,22.13,0
 48-58,0,0,0,0,1.38,0,155.02,0,0,5.94,0,0,0,0,0,1.53,0,0,122.03,0,0,1.03,0,0,0,0,0,8.39,0
 60-70,0,0,0,0,0,0,135.04,0,0,0,0,0,0,0,0,2.97,1.86,0,100.05,0,1.22,0.78,0,1.44,9.95,0,0,8.42,0.66
 72-82,0,0,0,0.69,1.23,0,121.67,0,0,1.11,0,0.5,0,0,0,6.04,0,0,168.08,0,0,0,0,1.78,0.86,0,0,6.82,0
 84-94,0,0,0,0,0,0,139.52,0,1.21,2.07,0,1.9,0,0,0,2.55,0,0,137.5,0,0,0,0,2.02,1.06,0,0,2.87,0
 96-106,0,0,0,1.96,0,1.53,112.35,0,0,2.43,0,4.03,0.78,1.3,0,2.72,2.84,0,81.24,0,0,0,0,2.97,0,0,0,0,3.58
108-118,0,0,0,2.66,0,0,122.11,0,0,2.35,0,12.95,0,0,0,6.07,1.29,1.32,125.33,0,0.77,0,0,5.88,1.97,0,0,0,0.56
120,0,0,0,0,0,0,82.67,0,0,3.39,0,0,0,0,0,2.05,0,0,125.81,0,0,0,0,0,16.61,0,0,0,0
