stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial_mesoderm,periderm
  5-6,0,19.5,0,0,0,0,0,11.94
  7-9,10.96,0,0,7.37,3.66,3.67,14.29,7.68
 10-12,0,0,25.65,8.94,298.09,0,45.04,0
