stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0
 10-12,0,0,4.44,7.32,0,0,0,0,0,0,0,0,0,14.9,0,0,0,0,36.38,0,0,0,0
 14-21,0,7.01,72.95,1.78,0,0,0,0,0,0,1.79,4.44,0,22.73,0,1.07,0,0,1.01,1.69,2.03,0,0
 24-34,0,0.75,5.26,0,0,0,0.93,0.79,0,0.88,0.59,1.51,0,13.18,1.19,0,0,0,0,0,3.08,0,0
 36-46,0,0,1.65,0,0,0.77,0,0,0,0,0,1.89,0.58,12.47,0,0.8,0,0,0,0,0.57,0,4.66
 48-58,0,0,0,2.49,0,2.55,1.49,0,0,0,0,0.39,0,11.52,0,5.01,0,0,0,4.23,0.91,0,0.52
 60-70,0,0,0,26.62,0,0,0,0,0,0,0,18.24,4.93,6.17,2.15,1.72,0,0,0,3.38,0,0,0
 72-82,0,0.5,0,104.22,0,4.48,0,0,0.67,0,0,6.66,0,17.97,0,0.84,0,0,0,0,1.1,0,0
 84-94,0,0.64,0,110.3,0,0,1.75,0.78,1.23,0,0,2.56,0,8.41,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,47.97,0.6,0,0,0,0,0,0,2.45,0,10,0,0.59,0,0,0,0,0,0,0
108-118,0,0,1.95,109.04,0,0,0,0,0,0,0,5.24,0,11.98,0,0.57,0,0.51,0,0,0,0.57,0
120,0,0,0,101.15,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0
