stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,66.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,139.15,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0
  7-9,6.62,5.64,7.6,0,0,11.91,0,3.56,0,0,0,0,0,195.32,0,63.53,0,0,0,0
 10-12,0,0,0,0,0,80.98,0,0,0,0,0,0,0,123.67,29.9,42.27,0,0,0,0
 14-21,0,0,0,4.87,0,0,0,0,0,0,0,0,0,23.22,0,0,0,3.58,2.03,6.39
 24-34,0,0,0,0,0,2.43,0.61,0,0,0,3.13,0,0.61,38.13,0,0,0.83,0,0,6.11
 36-46,0,0,0,0,0,7.86,2.36,0,0,0,3.17,0,0,31.5,0,0,0,0,0,7.47
 48-58,0,0,0,0,0,18.22,5.15,0,0,0,1,0,0,12.23,0,0,0,0,0,3.07
 60-70,0,0,0,0,0,8.73,1.75,0,0,0.64,0,0,0,3.78,0,0,0,0,0,0.74
 72-82,0,0,0,0,0.52,13.29,2,0,0,1.92,0,0,0.56,8.36,0,0,0,0,0,1.2
 84-94,0,0,0,0,0,2.44,9.65,0,0,2.95,1.51,0,0,3.1,0,0,0,0,0,1.33
 96-106,0,0,0,0,4.48,1.69,0,0,0,1.77,0,0.69,0,7.55,0,0,2.13,0,0,0
108-118,0,0,0,0,3.81,0.51,1,0,0.69,4.34,1.31,0,0,10,0,0,0,0,0,0
120,0,0,0,0,3.38,3.67,0,0,0,17.86,0,0,0,1.17,0,0,0,0,0,0
