stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,20.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.97,0,0,0,5.91,0,0,0,0,0,0
 10-12,0,0,7.1,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,7.35,0,0,17.86,0,0,0,0,0,0
 14-21,0,0,0,1.98,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,0,0,0,0,0,65.37,0,0
 24-34,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,1.08,0,3.12,0,0,0.89,124.58,0,2.08,1.4,0,3.79,1.08,1.47,431.47,0,0
 36-46,0,0,0,4.44,0,0,2.38,0,1.04,0,1,0,0,0,0,0,0,0,0,0,0,170.41,0,1.37,0,0,4.88,0,0,436.07,0,0
 48-58,0,0,0,2.44,0,0,6.95,0,0,0,4.51,0,0,0,0.38,0.41,0.54,9.22,0,0,2.16,135.62,0,1.46,0,0,0.82,0,0,151.64,0,0
 60-70,0,0,0,1.81,0,0,3.38,0,0,0,2.51,0.63,0,0.78,0,0,0,9.68,0.87,0,0,94.31,0,0,0,0,2.17,0,0,69.17,0.81,0.57
 72-82,0,0,0,2.4,0,0,17.04,0.69,0,3.15,0.56,0,0,0,0,0,0.51,3.05,0,0,0,138.4,0,0,4.04,0,0,0,0,70.84,5.8,0
 84-94,0,0,0,0.67,0,0,7.42,0,0,0,0.58,2.65,0,0,0,1.2,0,7.33,0,0,2.29,65.57,0,0,0,0,2.16,0,0,14.53,38.9,1.24
 96-106,0,1.1,0,12.45,0,0.77,36.02,0,0,0,9.76,2.62,1.24,0.95,0,0,0,2.63,1.74,0,0,69.79,0,2.8,0,0,1.51,0,0,24.45,16.88,0
108-118,0,1.77,0,2.07,0,0,19.29,0,0.66,0,3.46,2.1,0,1.63,0.45,0,0,3.71,0,2.16,0.47,50.36,0,0,0,0,2.19,0,0,1.14,10.84,0
120,0,1.37,0,0,0,0,21.86,0,0,18.66,2.21,0,0,0,0,0,7.28,3.25,0,0,0,90.69,0,0,0,0,1.09,0,0,29.27,12.15,0
