stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0
 14-21,0.81,4.65,0,0.89,0,0,0,3.76,1.81,0,0,0,0,8.42,0,7.84,0,0,4.05,43.75,0,0,0.87,0.86,0,0,0.84,0,0,1.2,26.21,0,0.97,0
 24-34,0,8.17,0.68,2.38,0,2.87,0,0.6,0,0,0,0,0,0,0,22.49,0,0,12.48,44.35,0,0,0,10.77,0,0,0,0.93,0,0,15.47,0,3.5,0
 36-46,0,17.53,0,1.24,0,1.15,0,10.32,0,4.71,0,0,0,0,0,54.99,0.56,0.77,21.28,43.2,0,0.75,0,0,0,0,0,1.29,0,0,9.69,0,0,0
 48-58,0,10.34,0,12.14,0,0.95,0.49,1.96,0,1.38,1.36,0,0,0,0,107.77,0,1.02,9.2,30.24,0,0,0,0,0,2.29,0,0,1.46,0,5.99,0.61,11.25,0
 60-70,0,11.33,0,7.49,0,4.18,0.73,0.88,0,0.71,3.81,0,0,0,0,120.02,0,8.24,14.62,21.25,0,0,0,0,0,7,0,0,1.49,0,4.32,9.1,1.27,0
 72-82,0,9.37,0,21.78,1.33,1.43,2.86,9.52,0,3.15,7.51,1.02,0,0,0.57,177.93,0,3.45,18.03,37.12,0,2.88,0,0,2.24,4.67,0,0,0,0,0,7.98,16.58,7.66
 84-94,0,19.89,0,32.02,0,6.73,1.83,4.18,2.57,1.31,18.61,0,2.52,0,2.16,119.9,0,12.99,13.24,8.07,0,0,0.88,0,8.98,12.06,0,0.74,0,0,3.11,13.01,16.68,9.43
 96-106,0,10.99,0,9.67,0,4.72,5.35,0,1.04,6.78,8.58,0,2.85,14.93,0,184.75,0,2.41,8.33,20.13,0.57,0,0,0,0,1.71,0,0.63,0,0,6.43,7.47,14.04,10.87
108-118,0,18.87,0.41,25.46,0,14.97,2.97,16.94,0,4.52,12.35,0.75,0,0,0,194.44,0,14.03,9.17,47.29,0,0,1.97,0,7.82,1.6,0,0.58,0,0,0,5.33,12.53,12.6
120,0,21.57,0,7.91,0,0,27.96,31.12,1.02,0,9.36,0,0,0,0,194.29,7.47,29.72,1.9,51.52,0,0,0,0,0,0,0,0,0,0,11.27,26.85,35.06,9.56
