stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,0,54.25,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0
  5-6,12.18,187.4,0,0,0,0,0,0,0,0,0,0,0,0,0,64.29,0,0,0
  7-9,0,0,0,4.82,0,0,0,0,0,0,0,58.68,0,9.58,0,24.77,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,46.73,0,0,0,26.97,0,0,0
 14-21,0,0,1.4,0,0,0,0,0,0,0,0,2.01,0,0,0,49.59,0,0,0
 24-34,0,0,2.31,0,0,0.64,0.63,0,0,0,0,9.96,3.61,0,0,112.23,0.6,1.11,0
 36-46,0,0,0.9,0,0,0,0,0,0,0,0,2.34,0,0,0,161.6,0,2.99,0.64
 48-58,0,0,0,0.68,0,0,0,0.37,0,0,0,1.25,0,0,0,91.98,0,0,0
 60-70,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,62.88,0,0,0
 72-82,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,3.01,59.5,0,0,0
 84-94,0,0,5.33,0,1.71,0,0,0,0,0.57,0,0,0,0,0,134.05,0,0,0
 96-106,0,0,5.49,0,0.59,0,2.87,0,0.83,0,0.81,0,0,0,0,125.86,0,0,0
108-118,0,0,13.26,6.72,0.46,0,0.43,0,0,0,0,0,0,0,0,80.83,0,0,0
120,0,0,8.17,0,4.48,0,0,0,1.26,0,0,0,0,0,0,76.27,0,0,0
