stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,0,0,0,0,39.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.64,4.23,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.3,0,24.23,0,0,0,20.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.91,13.82,0,0,38.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.48,9.84,171.51,5.45,0,41.2,0,0,0,10.62,3.55,4.22,2.06,0.8,0,0,0,0,49.15,1.22,0,42,351.68,4.52,0,0,7.74,0,9.34,37.01,6.08,2.7,36.93,162,0,0,2.38,0,0
 24-34,0,0.75,4.53,131.84,0.6,0,33.19,0,2.55,1.23,16.47,1.27,1.61,23.49,0.62,0,2.86,0,0,108.86,0.68,0,29.48,338.04,0.97,1.58,7.6,0,0,12.04,0,4.63,0,3.6,122.7,0,0,11.14,0,0
 36-46,0,0,2.44,293.17,0.58,0,56.49,2.36,16.45,5.68,38.42,0.56,13.3,133.58,0,0,1.96,0.59,1.37,324.33,2.02,10.47,109.03,437.79,1.57,5.61,7.28,0,0.97,16.78,0,1.34,0.58,0.56,207.35,0,0,30.33,0,3.47
 48-58,0,0,0,108.53,0,0,22.18,0,17.59,4.59,9.49,0,1.66,196.06,0,0,0,0,0,124.42,4.35,3.36,25.94,61.15,1.17,2.46,0,0,0,3.87,0,0.38,0,0,21.52,0,1.68,7.72,0,0
 60-70,0,0,0,119.07,0,0,36.77,0,27.5,10.54,38.18,0,0,173.97,0,0,1.46,1.41,0,257.79,0,2.4,20.69,93.58,0.75,5.28,0.59,0,0,1.77,0,0,0,0,19.03,0,2.39,1.05,2.04,0
 72-82,0,0.58,0,65.26,3.9,0,20.28,0.5,8.1,22.83,33.96,0,1.91,108.89,0,0,0,0,0,145.51,0,3.26,20.57,65.53,0,9.29,4.65,0,0.8,1.89,0,0,0,0,5.74,0.5,1.01,7.06,2.38,0.82
 84-94,0,0,0,159.17,1.82,0,53.48,0,15.48,11.7,50.59,0.88,0.97,117.25,0,0,0.63,0,0,288.61,0,18.66,25.26,82.72,8.87,6.36,13.61,0,0,2.31,0,0,0.66,0,10.08,0.61,13.5,8.26,2.06,0
 96-106,0,0,0,115.7,3.92,0,34.11,0,14.25,14.35,42.87,2.58,4.3,164.33,0.99,0,4.25,9.15,0.71,248.26,0.96,6.3,19.67,62.76,0.59,15.03,6.31,0,0,1.24,0,0,0,0,11.88,0,3.32,3.73,4.92,0
108-118,0,0,0,153.97,0.51,1.93,43.94,1.24,26.6,13.2,45.6,2.95,0,80.33,2.45,0,2.26,0,3.47,436.93,4.6,9.54,27.53,83.81,5.26,1.84,4.38,0,2.35,0,0,0.83,0,0,4.67,1.42,0,2.77,3.52,0
120,0,0,0,115.43,0,0,5.43,15.17,6.46,16.58,66.88,0,0,282.25,0,10.67,0,0,1.45,261.54,1.15,0,9.39,27.96,0,43.06,10.28,0,13.67,2.57,0,2.12,0,0,0,0,26.48,15.77,0,0
