stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.86,0,0,0,0,1.25,0,0,0,0,0,0,0,29.55,0,0,0,0,0,0,16.55,0,0,0,0
 24-34,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,132.09,0,0,0,0.94,0,0,36.3,0,0,0,0
 36-46,0,0,0,31.47,0,0,1.79,0,0,0,0,1.41,0,0,302.32,2.36,0,14.25,0,0,0,82.03,0,0,0,0
 48-58,0,4.55,0,98.92,0,0.42,6.32,0,0,0,0.5,2.84,0,0.47,540.66,0,0,0,9.48,0,0,82.02,0,0,0,0
 60-70,0,0,0,286.27,0,0,20.66,1.43,0,0,0,14.35,0,1.87,529.95,0,0,0,5.69,0,9.39,75.86,0,0,0,7.73
 72-82,0,4.97,0,317.24,5.37,0,9.55,0.88,5.15,0,0,2.68,0,0,531.7,1.22,0,0,2.72,0,0,34.96,0,0,9.27,0
 84-94,0,2.58,7.73,229.44,0,0,24.74,0,0.93,0.7,0,6.89,0,0,500.98,0,0.85,0,4.58,0.64,0,44.62,0.71,0,0,3.06
 96-106,0,3.04,0,216.3,0,0,21.68,0.85,0,0.75,0,6.94,1.02,0,477.59,2.32,0,0,6.9,0,0,14.2,9.94,0,0.59,0
108-118,0,9.22,0,196.3,0,0.58,11.67,0,2.85,0,0,12.17,0,0,415.46,1.57,0,0,0,0,0,32.4,0,1.06,0,0
120,0,11.44,0,142.7,0,0,18.55,0,0,0,0,17.89,0,2.44,734.38,2.15,0,0,0,1.83,0,22.43,0,0,0,0
