stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,35.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,37.56,0,0,0,16,0,0,0,0,0,0
 10-12,4.14,0,0,9.77,0,0,0,0,0,0,0,0,0,0,76.09,17.33,0,0,42.11,0,0,0,0,0,0
 14-21,0,0,5.54,0,0,0,0,0,0,0,0,0,0,1.75,2.15,0,0,0,0,0,1.89,0,4.38,0.88,3.81
 24-34,0,0,0,0,0,0.92,0,0.7,0,0.69,0,7.79,0,2.11,22.85,0,0.99,0.89,0,0,0.62,0.93,0,2.85,4.55
 36-46,0,0,0,4.03,0,0,0,0,0,11.08,1.62,4.67,1.01,1.61,11.7,0,0,0,0,0,0,0,0,0,3.16
 48-58,0,0.38,0,4.75,0,1.43,0,0,0,0,0,3.56,0,3.02,14.48,0,0,0,0,0,1.76,0,0,0,2.17
 60-70,0,0,0,0,1.86,3.12,0,0,0,0,1.41,11.29,0,0,3.92,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.39,0,1.03,0.53,0,0,0,0,18.51,0,0.82,3.44,0,0,0,0,1.77,0,0,0,0,2.71
 84-94,0,0,0,0,0,0,1.6,0,0,0,1.44,5.16,0,0,2.08,0,0,0,0,0,0,0,0,1.13,0.74
 96-106,0,0,0.99,0.84,0,2.5,0.57,0,0,0,2.63,18.8,0,0,1.17,0,0,0,0,0,1.23,0,0,0,1.38
108-118,0,0,0,8.94,0,2.71,0.46,0,7.17,0,0,19.58,0,0,9.3,0,0,0,0,0,7.99,0,0,0,3.1
120,0,0,0,3.71,0,0,0,0,0,0,0,23.56,0,0,5.93,0,0,0,0,0,9.64,0,0,9.58,0
