stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,8.65,12.79,0.81,53.6,5.54,0,27.34,0,6.96,0,21.9,2.07,20.29,0,0,5.71,0,3.4,7.08,17.52,8.99,1.97,0,27.57,978.07,30.45,4.3,1.76,6.6,0,186.48,10.38,2.32,183.35,530.31,644.73,0,0,0,0,1.1
 24-34,0,4.32,2.19,57.55,0.69,0,28.75,3.02,23.46,0,27.76,0,25.98,7.1,0.6,11.56,0,25.26,1.2,94.1,17.48,11.17,0,37.58,2412.66,18.63,45.79,8.51,0,0,238.05,0.93,6.99,55.48,157.62,1339.87,0,0,2.16,0,15.66
 36-46,0,1.71,0.58,18.35,0.88,0,146.86,11.92,2.08,0,44.3,0,8,17.47,0.63,4.46,1.49,21.18,0,187.96,24.85,17.92,0,16.06,3563.76,9.38,60.23,0.57,0,0,247.03,0,13.05,61.38,1.09,1264.26,0,0,0,0,16.36
 48-58,0,1.1,3.44,26.23,0.52,0,595.02,13.4,8.8,3.06,104.65,0.88,8.54,11.15,0.48,5.75,5.66,15.53,1.04,218.23,52.21,45.68,2.65,42.07,3988.19,2.7,55.64,6.81,0,0,188.66,0,1.1,60.28,0,845.87,0,0.61,14.21,0,19.63
 60-70,0,0,8.51,21.09,4.68,0,1525.9,31.42,5.25,5.95,78.89,7.1,0,0,0,7.44,0.81,10.12,0,77.07,108.23,45.3,5.07,37.77,3170.2,1.76,67.45,6.45,0,3.51,256.61,0,4.72,24.4,0,548.44,2.43,1.47,3.61,0,22.03
 72-82,0,5.73,3.38,37.18,2.42,0,1571.09,36.47,3.36,5.08,103.04,38.28,2.86,2.99,8.58,1.76,0.54,13.08,0,80.5,238.02,115.66,11.19,25.59,2766.24,17.39,125.82,1.76,0,9.38,160.51,0,0.5,26.96,0,294.09,17.79,4.75,4.31,0.64,34.5
 84-94,0,8.93,10.79,59.51,4.13,0,1131.71,21.51,4.76,1.93,72.12,73.63,13.47,6.1,3.79,11.26,5.97,5.81,0,182.45,187.34,111.89,1.41,22.63,1743.12,4.81,90.47,5.4,0,0,501.99,0,1.65,25.42,0,227.47,28.21,0,0,0,10.8
 96-106,0,16.12,4.95,43.37,31.32,1.05,1272.42,44.53,8.06,8.06,58.54,113.88,6.35,8.59,11.83,10.17,13.39,35.93,6.7,82.84,226.76,192.59,7.45,15.29,1490.95,0,169.01,3.72,1.2,3.21,442.99,0,3.72,32.42,0,104.02,32.51,9.96,3.73,2.62,15.86
108-118,0,6.04,33.99,43.03,8.05,6.99,1279.62,40.76,4.06,4.84,65.71,146.79,0,3.69,3.24,21.59,17.79,19.74,4.05,172.59,156.55,251.59,25.89,33.43,2177.48,2.33,120.54,5.33,0,6.87,373.64,0,4.78,15.05,0,98.53,59.57,3.76,1.43,3.89,22.23
120,0,22.12,8.93,46.12,1.91,10.77,1438.86,59.39,3.98,13.02,166.64,113.7,0,0,1.51,14.04,11.36,27.26,16.46,45.12,322.14,96.79,10.5,38.92,3689.23,0,72.95,13.86,0,0,248.29,1.12,4.78,4.55,0,242.09,21.76,3.55,2.9,6.97,23.57
