stage,epidermis,eye,ionocyte,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,somites
  7-9,0,3.28,0,0,0,56.2,0,4.89,8.11,0
 10-12,0,5.57,0,0,0,134.75,0,11.51,4.8,0
 14-21,0,0,1.18,1.2,0,1.91,0,0,11.47,0.8
 24-34,0.61,0,0,0,0,1.56,0,0,1.54,0
 36-46,0,0,0,0,0,2.69,0,0,0.58,0
 96-106,0.78,0,0,0,0,0,0.6,0,0,0
108-118,0,0,0,0,0.42,0.68,0,0,0,0
