stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.6,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,20.39,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.9,0,0,0,0,0,0,0,0,2.29,0,0.96,0,0,0,0,0,1.73,2.95,0,0,0,0,0,0.92,0,0,3.46,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.63,0,0,0,0,0,1.14,0,0,0,0,0,2.57,0,0,31.66,0,1.25,7.31,0,0,0,0,0,2.15,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.23,4.9,4.59,0,0,0,0,0,0,0,0,0,0.63,0,1.22,32.13,0.61,0,23.04,0,4.38,0,0,0,8.02,0,0,0,0,0
 48-58,0,0,0,0,0,0,43.71,0.97,0,0.67,2.56,0,0,0,0,0,1,0,0.45,0,1.44,86.9,0,1.67,10.38,0,0,0,0,0,18.1,0,0,0,0,0
 60-70,0,0,0,0,0,0,171.73,0,0,0,0.76,0,0,0,0,0,2.74,0,4.05,0,5.24,106,0,1.71,37.71,0,3.11,0,0,1.57,33.45,0,0.71,0,0,0
 72-82,0,0,0,4.34,0,0,163.04,0.58,0,0,4.03,0,0,0,0,0,9.04,0,2.08,1.07,1.65,110.29,0,1.14,26.04,0,0,0,0,0,14.31,0.8,0,0.66,1.05,0
 84-94,0,0,0,8.35,0,0,142.2,0.69,0,0,4.68,1.21,0,0.6,1.45,8.94,5.92,0,0,0,0,109.48,0,0.89,28.75,0,1.35,0,1.52,0.89,18.66,3,0,0,0,0.73
 96-106,0,1.05,0,1.3,1.62,0,83.08,0.77,0.61,0,8.97,1.5,0,0,0,0,18.2,0,12.84,0,2.75,70.28,0,0,61.29,0,3.43,0,0,1.33,21.16,1.42,0,0,0,0
108-118,0,0,0,0,0,0.59,132.36,0,0,0,6.16,2.4,0,0.91,0.44,0,12.51,3.33,2.72,0,2.37,65.71,0,0,56.74,0,1.35,0,1.06,0.51,0,6.72,0,0,0,3.78
120,0,0,0,7.12,7.49,0,110.71,1.02,3.1,0,17.72,0,0,0,0,0,21.09,0,17.62,0,1.41,114.81,0,8.97,97.88,0,2.54,1.12,0,1.22,10.7,0,0,0,0,0
