stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,neural,notochord,olfactory,paraxial_mesoderm,spinal_cord
  3-4,0,64.84,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.12,0,0,0,0,0,0,0,0,0,0
  7-9,3.75,0,0,0,3.69,0,16.45,31.12,3.96,0,7.19,0
 10-12,0,11.65,19.84,0,3.98,0,0,15.29,0,0,4.64,0
 24-34,0,0,0,0,0,0,0,5.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.26
 48-58,0,0,0,0,0,0,0,0.75,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.05,0,0,0,0
 72-82,0,0,0,0,0,1.47,0,5.59,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,7.45
 96-106,0,0,0,0,0,0,0,9.59,0,2.44,0,0
108-118,0,0,0,2.31,0,0,0,0,0,0,0,0
120,0,0,0,0,10.32,0,0,3.4,0,0,0,0
