stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,79.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.53,0,0,0,0,4.21,0,0,0,0,19.91,4.44,0,0,3.54,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.01,0,0,0,4.33,0,0,0,0,0,0
 14-21,0,0,8.15,1.02,0,0,0,0,0,0,1.74,0,0,1,2.67,15.17,0,0,0,0,2.35,1.03,1.54,2.24,7.96,1
 24-34,0,0,0,0,0,2.25,0,0.68,0,0,0.67,0,0,3.04,2.13,38.71,1.46,0,0.94,0,0,0,0,0.76,9.19,3.69
 36-46,0,0,0,0,0,3.05,0.64,0,1.13,0,0,0,0,5.45,4.46,82.32,0,0,0.59,0,4.05,0,0,0,20.86,0
 48-58,0,0,0,0,0,18.11,0,0,5.93,0,0,0,0,3.18,0.44,124.02,0,1.18,0,0,3.24,0,0,0,20.37,0
 60-70,0,0,0.58,0,0,44.86,0,0.62,0.65,0,0,0,0,15.55,0,141.93,0,0,0,0,1.19,0,0,0,19.51,0
 72-82,0,0,0,0,0,20.89,0.55,0,0,0,0,0,0,4.91,1.51,52.37,0,4.5,0,0,0,0,0,0,3.33,0
 84-94,0,1.01,2.52,0,0,12.73,0.77,0,0,0.62,0,0,0,2.87,0,36.5,0,0,0,0,4.2,0,0,0,3.32,0
 96-106,0,0,0.74,2,0,0.86,0,0,0.88,0,0,2.53,0.76,3.33,0,24.05,0,0.92,0,0,1.74,0,0,0,0,0
108-118,0,0,2.41,0,0.42,2.9,0.5,0,1.76,0.65,0,0,0,4.29,0.72,34.93,0,0,0,0,0.56,0,0,0,2.67,1.1
120,0,0,0,0,0,0,0,0,20.93,0,0,0,0,0,0,11.61,0,0,0,0,3.3,0,0,0,7.58,0
