stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,54.74,0,0,1.05,0,21.02,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,342.75,0,0,0,0,0,0,25,18.69,1.42,0,0,0,0,0
 24-34,0,0,465.28,0.66,0,5.92,212.02,249.07,0,0,0,1.94,0,0.71,0,0,0.69,0,101.9,0,0,61.7,1207.91,0,1.25,2.2,0,19.8,0,226.33,44.97,117.34,0,0,3.8,0,10.52
 36-46,0,0,790.78,0,0,11.5,505.99,279.18,3.07,9.48,0,1.65,0,0,0,0,0,0.71,91.78,6.05,0,8.3,2834.93,0.66,0,4.37,0,34.93,0,261.96,4.03,45.47,0,0,23.42,0,0
 48-58,0,0,855.28,0.45,0,109.71,281.44,430.37,2.16,78.79,1.51,3.07,0.97,0.38,0,0.38,0,3.74,80.8,5.36,0.5,16.09,4759.3,0,0.74,0,0,66.72,0,165.91,0,59.59,0,0,4.45,0,26.28
 60-70,0,28.77,1195.57,3.52,0,82.41,133.34,847.02,1.69,18.78,6.88,0.78,0,6.06,0,0,0,0.88,54.29,13.93,0,26.58,4481.5,0,13.86,0,1.22,72.59,5.39,54.88,0,63.86,0,0.99,0.74,0,2.79
 72-82,0,237.65,1072.72,7.56,0,136.42,50.87,737.05,7.5,96.75,55.03,1.8,0,1.74,5.77,0,0,3.49,81.07,14.99,1.29,8,8974.85,2.6,27.04,0,3.54,257.35,0.53,17.3,0,21.16,2.77,7.11,0.5,2.12,9.92
 84-94,0,143.83,2230.95,6,0,182.39,71.27,1797.59,16.02,161.2,123.84,5.56,0.65,8.41,0,0,0,0,66.12,28.54,17.97,6.9,6101.71,0.99,10.34,1.18,0,667.74,0,29.34,0,35.72,8.68,2.52,0,1.21,0
 96-106,0,356.71,2849.91,26.37,8.35,170.62,63.12,2184.31,19.62,32.65,180.9,4.53,3.32,16.87,0.67,5.2,39.12,0,111.82,42.17,2.42,13.58,5898.85,0.73,52.15,5.93,4.67,738.68,4.57,28.23,0,108.8,1.72,4.96,11.42,5.72,28.89
108-118,0,290.52,4304.83,11.39,3.07,90.34,68.89,3315.33,22.2,63.09,180.34,2.71,3.03,10.57,4,1.96,3.2,4.89,123.24,28.78,13.46,17.43,7972.17,3.47,37.31,4.85,2.38,1380.09,1.48,29.58,0,6.81,5.8,1.64,3.87,1.17,0.59
120,1.12,444.72,3305.27,7.22,1.91,160,47.38,2515.78,1.44,120.01,456.09,0,1.42,2.21,0,1.19,5.66,0,125.29,58.01,0,9.25,8286.14,12.38,10.78,2.87,12.2,1070.9,11.86,18.86,0,133.76,0,3.8,0,0,10.98
