stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste
  3-4,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,8.26,0,0,0,0,0
 14-21,0,3.15,0,0,0,0,0,0,1.74,0,4.17,3.38,0,0,0,0,0,0,6.1,0
 24-34,0,4.23,0,0,0,0,2.35,0,2.04,0,7.38,0,0,0,0,0,0,0.66,37.1,0
 36-46,0,0.84,4.62,0,0,0,1.7,0,0,0.93,29.1,0,10.07,0,0,0.58,1.44,0,87.49,0
 48-58,0,0,2.11,1.67,0.84,0,0,0,4.15,0,109.56,0,0,0.41,0,0.38,0.43,0,62.32,0
 60-70,0,0,17.91,0,2.38,0,0.58,10.91,3.51,1.06,220.01,0,0,0,0,0,1.91,0,56.72,0
 72-82,0,0.58,46.97,0,2.4,0,0,0,18.52,0,193.93,0,0,0,0,0,0,0,53.08,0
 84-94,0,2.18,70.88,0,15.17,0,0,3.64,10.81,2.47,155.14,0,0,0,0,0,0,0,29.47,0
 96-106,0,0,114.74,1,4.8,0,0,0.63,11.7,3.07,144.85,0,0,0,0,0,0,0,14.93,2.03
108-118,0,0.69,102.32,0.75,13.38,0.43,0,3.62,25.37,2.73,133.82,0,0,0,0,0,0,0,30.58,0
120,0,0,22,0,10.06,0,5.02,0,25.96,0,118.14,0,0,0,0,0,0,0,13.76,0
