stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,422.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0
  5-6,55.45,461.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.53,0,0,0,0,26.91,0,0,0,0,0,0,0
  7-9,7.17,0,7.62,0,0,10.9,0,0,0,0,7.31,0,0,0,0,0,0,0,270.94,7.42,0,0,58.95,0,0,0,0,0,0,0,0
 10-12,0,0,13.32,0,5.31,6.04,0,0,0,0,0,0,0,0,0,0,0,0,69.24,0,0,0,30.11,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,2.66,0.85,1.67,0,0,0,0,0,0,0,0,0,1.77,0,0,18.35,0,0,1.24,0.83,0,1.45,0.94,2.85,4.63,0,0,0
 24-34,0,0,0,2.96,0,2.38,0.63,0,0,0,0,0.8,0,0.61,0,2.38,0,0,17.91,0,0,0,0,3.93,0,0,1.9,2.59,1.13,0,2.27
 36-46,0,0,0,1.31,0,3.55,0,0,0,0,0,0,0.81,0,0,3.74,0,1.47,11.33,0,0.84,0,0,2.25,0,0,0,4.85,0,0,0
 48-58,0,0,0,0,0,22.75,0,0,5.46,0,0,0,0,0,0,6.02,1.02,0,19.25,0,0,0,0,6.6,0,0,0,3.6,1.44,0,0
 60-70,0,0,0,0,0,23.8,0,0,0,0,0,0,0.63,0,0,1.36,0,0.79,10.43,0,0,0,0,0.78,0,0,0,1.19,0,0,0
 72-82,0,0,0,0,0,6.55,0,0.77,0,0,0,0,0.56,0,0,2.94,0,0,10.09,0,0,0,0,2.06,0,0,0,1.29,2.09,0.99,20.16
 84-94,0,0,0,0,0,4.55,1.52,0,1.45,0,0,0,0,0,0,0.74,0.69,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,24.62,0,0,6.91,0,0,0,0.56,0,0,6.91,0,0,9.68,0,0,1.11,0,2.25,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.51,0,0,0,1.2,0,0,0.65,0,0.5,8.03,0,1.33,8.61,0,0,0,0,0.42,0,0,0,0,0,0,0
120,0,0,0,5.55,1.69,20.83,0,0,5.36,0,0,0,5.36,0,0,13.48,3.46,0,9.23,0,0,0,0,4.04,0,1.47,0,0,0,0,0
