stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,141.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,135.18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.11,4.42,0,0,0,0,0,0,0,0,0,0,0,61.25,0,0,0,15.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,42.76,0,0,0,17.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,3.12,0,0,0,0,0,0,0.81,0,0,0,28.37,0,0,0,0,0,0,3.28,0,1.98,1.39,0,0,0,0
 24-34,0,0,0,0,0,1.42,0,0,0,0,1.37,0,0,0,30.93,0,0,0,0,0,0.85,0,1.45,0,4.52,0,0,0,0
 36-46,0,0,0,0,0,0.68,0,0.77,0,0,0.65,0,0,1.22,14.45,0,0,1.14,0,0,0,0,0,0,5.24,0,0,0,0
 48-58,0,0,0,0,0,3.39,0,2.89,0,0,0.94,0,0.73,4.73,46.45,0,1.18,0,0,0,1,0,0,0,0.48,0,0,0,0
 60-70,0,0,0,0,0,5.54,0,0,0,0,7.31,0,0,4.1,20.85,0,0,0,0,0,0.63,0,0,0,1.8,2.18,0.85,0,0
 72-82,0,0,0,0,0.64,2.42,0,1.39,0,0,3.36,0,8.58,0.71,8.28,0,0,0,0,0,0,0,0,0,2.21,0,0,1.26,0
 84-94,0,0,0,0,0,1.4,0,0,0,0,2.77,0.86,0,0,4.65,0,6.33,0,0,0,1.47,0,0,0,0,0,1.68,0,0
 96-106,0,0,0,0.92,0,1.11,0,1.66,0.58,0.65,0.96,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.28,1.31,4.2,0.53,2.26,0.75,0,0.83,0,0,0.83,13.75,0,0.47,0.54,0,0,9.08,0,0,0,0,0,0,0,0.75
120,0,0,0,0,0,5.35,0,9.04,0,0,1.22,0,0,0,5.33,0,0,7.86,0,1.79,0,0,0,0,0,0,0,0,0
