stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.72,0,0,0,6.19,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.86,1.67,0,1.17,0,0,1.54,0,0,3.52,0,7.67,0,0,7.25,0,0,9.24,0.67,0,0,0,0,0,0,1.17,0,0,0.83,0,0
 36-46,0,0.95,0,4.07,0,2.28,0,0,2.38,0,0,1.09,0,0.63,0,0.67,2.32,0,1,17.12,1.69,0,0,0,0,0,0,1.81,0,1.87,0,0,0
 48-58,0,0.67,0,29.27,0,0.57,0,0,1.46,0,0,0.37,0,0,0,15.21,0.61,2.36,1.74,34.92,1.66,0,0.82,0,0.56,0,0,4.05,0,0.4,0,0,0
 60-70,0,1.79,0,25.6,0,2.46,0,0,21.81,1.68,0,0,0.93,0,0,40.63,2.28,2.85,0,8.48,0.98,0,3.17,0,2.53,0,0,5.8,0,2.06,0,0,0
 72-82,0,0.95,0,19.87,0.59,7.25,0,0,16.67,0.49,2.61,0,0,0,0,108.83,2.03,15.18,0.63,59.3,0.58,0.7,3.04,0,0,0,0,4.09,5.18,8.54,0,9.82,0
 84-94,0,1.64,0,20.94,0,3.66,0,0,17.05,0.88,1.49,0,2.1,0,0,101.75,4.08,0.78,0.56,24.77,7.33,0,16.33,0,0,7.74,0,0,2.75,4.28,0,13.11,0
 96-106,0,3.21,0,34.97,0,14.28,1.64,11,5.95,1.49,17.51,0,0,0.68,0.76,134.54,3.06,6.35,3.2,22.85,4.46,0,5.5,0,1.05,0,1.35,10.86,12.25,2.69,2.07,5.03,0
108-118,0,0,0,22.39,0,8.4,0,0,12.23,2.52,13.69,0,0,0.44,0,126.52,2.46,2.33,0.43,31.53,0.49,0,6.76,0,0,0,0,0,15.13,5.75,0,9.1,4.66
120,0,1.43,0,33.79,0,5.93,0,0,0,0,2.97,0,0,0,0,109.4,0,0,2.23,17.09,0,0,0,0,5.9,0,0,0,3.65,5.09,0,22.91,0
