stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,5.41,0,588.53,56.78,2.12,0,13.91,0,46.88,11.1,0,0,0.94,0,0,0,0,21.34,0,0,5.45,186.75,44.79,5.23,1.91,358.28,0,3.18,954.58,90.31,0,171.23,1029.23,0,6.94,0,0.85
 24-34,0,0,28.46,5.3,5.48,1.48,38.52,2.06,52.24,4.89,0,0,0,0,0,0,2.84,62.08,0,0,74.22,108.42,8.46,1.36,2.55,0,0,8.6,0,21.64,6.42,153.57,357.16,0,100.16,0,2.25
 36-46,0,0,3.12,0,8.83,7.33,14.28,37.7,57.71,3.01,0,0,0,0,0,2.78,0.63,144.1,0,0,150.18,134.48,2.02,3.97,0,0,0,21.63,0.86,9.07,8.49,5.48,641,0,44.69,0,12.77
 48-58,0,0,20.59,0,37.26,11.87,37.07,56.59,70.16,0.77,0,0.7,0.37,0,0.44,0,1.56,159.85,0,0,93.44,153.98,1.63,0,0,0,0,8.3,0,3.13,7.21,0,729.19,0,20.3,0.78,6.13
 60-70,0,0,12.06,0,20.72,10.06,29.81,84.42,58.87,0,0,0,0.93,0.66,0,0,14.33,151.98,0,1.2,45.64,114.36,0,0,7.28,0,0,12.64,0,6.85,7.89,0,846.02,0.94,11.18,5.78,2.81
 72-82,0,0,6.64,0,47.85,7.45,10.68,68.82,120.4,2.63,4.33,0,0,0,0,0,0.99,100.33,0,1.95,46.77,160.46,1.99,0,0,0,0,11.02,0,0,6.99,0,562.25,0,10.41,3.72,19.99
 84-94,0,0,8.6,0,36.18,1.43,27.05,57.11,91.73,6.29,0,1.06,0,0.81,0,0,2.85,88.46,0,4.56,39.8,163.61,0.94,0,0,0,0,13.18,0,11.34,1.49,0,488.89,3.29,20.58,3.74,8.71
 96-106,0,2.86,5.44,3.63,31.78,5.79,19.16,58.55,61.53,0.99,0,0,1.55,3.25,0,0,0,86.3,0,2.78,34.74,154.7,2.25,0,0.6,0,0,6.69,0,2,5.45,0,154.8,1.94,30.35,1.86,3.42
108-118,0,0,12.48,1.44,8.99,2.75,9.41,29.47,54.24,3.88,0,0,0.81,0,0.61,6.73,0.47,88.14,1.15,1.06,36.79,139.12,0.59,0,0,0,2.89,2.48,0,6.38,1.81,0,109.31,1.94,27.48,2.12,7.46
120,0,0,12.39,0,1.82,1.28,12.9,57.7,83.95,1.53,0,11.83,0,3.27,0,0,0,39.38,0,18.37,31.78,83.55,0,0,2.56,0,0,5.1,0,2.56,3.65,0,28.93,0,35.47,3.35,7.34
