stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,53.96,569.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17,0,0,0,0,0,0,0,0,0
  5-6,14.64,264.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.2,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,176.44,0,0,66.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.04,0,13.02,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,73.26,0,0,66.76,0,0,0,19.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0.96,3.23,0,0,0,0,0,2.53,0,1.28,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.85,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0.82,0,19.12,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.04,0,3.87,2.24,0,7.97,0,0,0,0,231.64,0,0,0,2.87,1.21,0,50.24,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0
 84-94,0,0,29.62,0,0,4.06,0,19.9,0,0,0,7.42,532.97,0,0,0,12.39,0,2.24,29.01,0,5.05,0,0,1.47,0,0,0,0,0,0,0,0.82,2.36
 96-106,0,0,62.07,0,4.3,12.02,0,73.38,0,0.59,1.49,15.38,1767.66,1.28,0.77,22.88,32,0,8.19,299.13,0,0,0,0,6.36,0,0,0,1.71,2.99,0.95,8.71,0,2.43
108-118,0,0,45.07,0,10.13,3.17,1.02,18.87,3.91,0,4.07,6.23,2811.51,4.46,0.43,17.75,22.52,6.21,4.78,298.57,0.86,1.37,0,4.05,5.02,0,0.48,0,6.72,1.13,0,4.13,0,2.03
120,0,0,18.24,0,15.31,17.14,0,33.15,0,0,9.1,5.39,2298.05,2.3,4.88,70.75,7.4,0,0,422.09,0,0,0,9,5.04,0,0,0,0,0,0,0,3.95,0
