stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.51,0,0,3.67,0,0,0,0,0,0,0
 10-12,11.38,0,7.61,0,0,0,0,0,0,0,48.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,1.03,1.58,5.04,0,0,0,0,0,1.22,1.33,0.88,0,0
 24-34,0,0,0,0.61,0,6.3,0,0.67,1.84,0,11.83,0.74,0,0,0,0,0,0,0,0.66,0
 36-46,0,0,0,0,0,7.88,1.3,0,0,0,19.66,1.21,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,30.77,1.38,0,0.44,0,27.02,0.78,1.05,0,0,0,0,0,0,1.68,0
 60-70,0,0,0,0,0,174.56,0.94,0,0,0,58.91,0,0,0,0,0,0,0,0,3.96,0
 72-82,0,0.68,0,0.52,0.61,319.97,4.09,0,0.53,0,88.39,0,0,0,0,0,0,0,0,1.03,1.47
 84-94,0,0.7,0,2.89,0,272.13,4.9,0,0,1.33,38.15,1.91,0,0,0,0,0,0,0,3.82,2.81
 96-106,0,0.61,0,0,0,244.09,1.63,0.83,2.7,0,36.46,3.17,0,0,4.28,0,0,0,0,0.67,0
108-118,0,1,0,2.23,0,178.55,4.15,0,2.45,0,72.23,1.33,0,0,0,0,0,0,0,0,0
120,0,3.9,0,8.8,0,146.78,10.73,0,1.85,0,68.21,0,0,0,0,0,0,0,0,0,0
