stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,11.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.03,0,0,0,0
 10-12,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.44,0,0,0,0,0,0,0.82,2.04,0,0.96,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0.98,0,0
 36-46,0,0,0,1.32,0,0,0.56,0,0.56,0,1.98,0,0,0.81,0.8,0
 48-58,0,0,0,2.26,0.43,0,0,0,0,1.76,3.49,0,0,0,0,0
 60-70,0,0,0,2.33,0,0,0,0,0,0,2.39,0,0,0,0,0
 72-82,0,0,0,4.11,0,0.75,0,0,1.5,0,9.99,0,0,0,0.72,1.78
 84-94,0,0,0,0,5.77,0,0,0,2.25,0.95,10.04,0,0,0,0,0
 96-106,0,0,0,2.68,0,0,0,0,1.04,0,2.73,0,0,0,0,2.33
108-118,0,0,3.29,0,0,0,0,1.84,0.6,0,8.05,0,0,0,0.92,0
120,0,0,0,0,0,1.61,0,0,1.74,0,6.4,0,0,0,0,0
