stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.77,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,133.32,283.2,29.43,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,17.51,0,0,0,14.27,25.96,0,0,0,0,0,0,0,0,0
  7-9,149.49,6.83,103.05,0,0,0,0,0,0,0,63.9,0,0,0,0,0,0,226.89,155.95,0,0,825.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.45,38.16,0,0,0,0,0,0,0,8.47,0,0,0,0,0,0,96.73,190.81,0,0,493.97,0,0,52.08,0,3.11,0,0,0,0,0
 14-21,0,2.71,0.94,15.87,11.81,2.45,0,0,1.34,0,0.96,0,0,0,7.11,0,20.27,26.6,53.14,0,0,8.94,0,455.21,0.85,41.11,125.79,6.74,0,1.07,0,9.35
 24-34,0,0,0.63,1.27,0,0,0.75,0,1.68,0,0,0,0,0,2.56,0,3.26,19.48,0,1.5,0,0,0,0,0,0,1.36,2.06,0,0,0,0
 36-46,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,5.97,0.56,1.25,27.12,1,0,0.57,0,1.55,0,0,0,0,4.74,0,0.6,0,1.39
 48-58,0,0,0,0,0,0.59,0,0.67,2.47,0,0,1.04,0,0.39,1.53,0.54,0.4,8.5,0,0,1.83,0,0,0,0,0,0,0.97,0,0,0,0
 60-70,0,0,0,0,0,3.76,0,0,0.85,0,0,0,0,0,7.22,18.15,0,4.54,0,0,0,0,7.23,0,0,0,0,3.54,0.61,0,0,0
 72-82,0,0,0,0,0,1.89,0,1.03,1.13,0,0,0,0,0,5.51,2.73,0,13.15,0,0,0,0,0,0,0,0,0,0,0.5,2.12,1.07,0
 84-94,0,0,0,0,0,4.98,0.91,0,0.66,0,0,2.68,0,0,4.85,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0
 96-106,0,0,0,0.97,0,11.97,0,2.3,3.02,0.75,0,0.85,2.64,0,0.69,2,0,6.58,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0
108-118,0,0,0.74,0,0,0,0,2.49,0,0,0,0,0,0,0,0,1.78,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0
120,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0,2.52,0,0,6.69,0,0,0,0,1.32,0,0,0,0,0,1.56,0,0,0
