stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.54,3.02,4.06,1.07,0,1.97,0,0,0,7.49,0,0,0,0.92,0,0,0,0.93,0,1.13,22.43,2.83,0,0,0,3.97,0,26.71,157.9,59.4,0,0,0,0,0
 24-34,13.05,0.59,6.69,0,0,2.69,5.04,0,0,15.95,0,0.82,0,0,0,0,0,0,0,17.55,212.22,0.88,23.86,0,0,0,0.75,86.51,55.49,130.68,0,0,1.99,0,0
 36-46,6.35,0,3.02,0,0,3.73,6.77,0,2.07,13.18,0,0,0,0,0,0,0,1.59,0,5.21,360.3,0,51.11,0,10.5,0,0,65.06,1.35,120.93,0,0,2.44,0,0
 48-58,3.68,0,6.36,0,0,15.79,3.62,0,0,32.56,0.58,0,0,0,5.18,0,0,2.87,0,16.22,414.69,0,21.82,0,1.01,0,0,26.57,0,115.18,0,0,0,0,8.57
 60-70,2.82,0,3.06,0,0,39.04,2.85,0,0.63,110.29,0,0,0,0,0,0,0,3.92,0,12.52,606.91,0,10.73,2.95,1.94,0,0,2.2,0,89.29,2.43,0,8.19,0,0
 72-82,9.13,0,0,1.53,0,87.34,3.27,2.44,0,136.73,6.91,0,0,0,0,0,0,19.01,0,10.41,849.87,0,36.14,1.96,0,0,0,6.42,0,102.51,2.14,0,0,0,0
 84-94,10.21,0,14.66,0,0,107.7,4.35,0,0,121.83,2.23,0,1.6,0,10.71,0,0,7.36,1.29,14.33,489.43,0,28.5,4.43,0,0,0,3.66,0,84.48,2.57,0,1.35,1.13,0
 96-106,12.28,0,7.96,2.72,0,62.82,1.19,0,0,138.8,4.28,0.73,0,0,0,0,0.76,14.33,4.26,5.5,566.1,0,30.62,1.34,0,0,0,5.83,0,86.2,0.81,0,2.69,0,0
108-118,23.45,0,12.22,3.11,0.5,103.58,4.48,0,3.23,134.62,8.33,0,0.61,0,0,0,4.66,7.19,0,12.06,564.76,0,16.83,3.86,0,0,0,7.04,0,57.3,4.21,1.88,1.9,0,1.71
120,4.02,0,8.77,0,0,109.32,11.49,0,0,192.23,3.4,0,0,0,0,2.79,0,2.33,0,14.71,1173.16,0,36.95,5.95,3.22,0,0,3.98,0,92.32,2.25,0,0,0,0
