stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.32,89.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,205.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.74,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7,5.38,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.61,1.32,1.7,0,0,1.38,0,0,1.3,1.02,0.86,0,0,0,0,0.83,0,0,6.54,28.29,0,1.44,0,0,0,23.51,0,0,10.44,12.56,0,0,0.91,0,3.62
 24-34,0,0,0.65,0.59,3.94,0.66,6.83,0,0,0,0,0,0,1.04,2.85,0,0,0,0,5.75,0,0,1.74,68.82,0,10.47,0.68,0,0,12.89,0.6,0,8.67,9.89,0,0,2.02,0,0
 36-46,0,0,0,0,6.28,1.06,3.77,0,0,4.36,0,0,4.75,4.59,0,0,1.99,0,10.4,7.71,0,0,2.53,144.14,0,22.89,0,0,0,11.49,0.61,0,0,9.91,0,0,4.88,0,0
 48-58,0,0,0,0,0.84,0.44,22.74,2.14,0,2.96,0,6.55,0.4,3.94,0,0,1.17,0,0.41,8.39,0.49,5.38,0.76,143.35,0.38,13.91,4.92,0,0,10.89,0,0.4,0,13.05,0,0,6.42,0,0
 60-70,0,0,0,0,12.24,0.83,144.33,2.26,0,17.26,0,4.77,4.06,16.51,0,1.28,0.82,0,10.37,23.58,0,0,3.63,212.61,6.52,35.99,4.21,0,0,4.35,0,0,0,3,0,2.36,10.95,0,0
 72-82,0,0,0,0,8.45,2.63,452.43,3.81,3.07,15.84,3.53,0,4.52,14.11,0,0,0.63,0,1.81,19.63,1.06,0,1.77,818.53,0,51.09,0.84,0,1.4,7.53,0,0,0,60.01,0,3.27,8.36,4.16,2.51
 84-94,0,0,0,0,9.98,5.35,222.54,1.02,0.77,22.75,2.33,1.23,3.38,14.95,0,0.67,2.95,0,7.61,21.74,0,0,0,595.01,0,20.75,0,0,0,8.64,0,0,0,13.85,2.47,4.21,3.9,0,5.76
 96-106,0,0,0,0,12.76,20.69,291.5,0.81,0,19.32,1.25,0,8.28,29.86,0,2.97,0,0,0.71,45.99,2.95,0,0,609.01,0,60.93,0,0,1.61,15.01,0.59,0.64,0,20.86,0,4.08,9.86,2,0
108-118,0,0,0,0,14.74,5.9,299.51,1.23,0,24.59,0.96,0,1.64,45.59,0,0,2.87,6.22,1.06,39.26,0,1.04,6.04,843.37,0,42.63,3.57,0,1.52,8.68,0,0,0,31.75,2.11,1.69,15.95,0,1.09
120,0,0,0,0,44.2,0,201.85,0,12.74,25.24,0,0,5.82,55.58,0,3.65,6.31,8.35,0,13.28,0,24.35,0,1047.43,0,34.38,0,0,3.42,1.88,0,0,0,9.5,0,9.6,11.38,0,0
