stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,19.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0
  5-6,58.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.27,0,0,0,0,0,0
  7-9,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,46.58,0,0,16.72,0,0,0,0,0,0,0
 10-12,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,32.16,0,0,25.97,0,0,0,0,0,0,0
 14-21,0,0,7.94,0,0,0,0,0,0,0,0,0,1.04,1.27,9.73,0,2.29,1.06,0,3.84,1.79,0.87,0.84,1.47,0
 24-34,0,0,3.12,2.49,0,0,0,0.8,0,0,0,0,0,1.57,6.02,0,6.11,0,0,0,17.13,0,0,0.65,0.6
 36-46,0,0,0,0,0,8.12,0,1.43,0,0,0,0,0.88,0,1.43,3.18,0.77,0,0,0,1.63,0,0,1.94,0
 48-58,0,0,0,0,2.58,0,0,0,0,0,0.96,0,0,0.67,4.85,0,13.02,0,0.75,0,8.31,0,0,2.08,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.77,0,3.47,0,8.81,0,6,0,0,0,0.71,0,0,0,0
 72-82,0,0,1.98,0,0.94,0,0,0,0,0.53,1.68,0,0,0,0.72,0,16.45,0,0,0,0,0,0,0.61,0
 84-94,0,0,0,0,2.86,0,0.89,0,0.75,0,4.93,0,0,0,8.85,0,13.22,0,0,0,1.84,0,0,0,0
 96-106,0,0,0,0,0.91,0,0,0,0,0,4.13,0,1.12,0,16.41,0,14.57,0,0,0,0.96,0,0,0,0
108-118,0,0,0,0,0,0.52,0,0,0,0.52,4.61,0.5,0,0,0,0,21.03,0,1.43,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,25.89,0,0,0,1.22,0,0,0,0
