stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.4,356.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.97,387.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15,0,0,0,0,0,31.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.94,12.13,0,15.51,0,0,0,39.15,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,393.68,0,0,0,101.02,0,3.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.1,0,18.93,0,0,0,69.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.42,11.24,0,0,106.49,0,0,8.7,4.76,17.02,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,7.39,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,4.36,43.65,0.92,1.37,0,0,0,0,0,8.31,0.9,0,8.11,7.59,0,0,1.22,0,0
 24-34,0,0,0,0,5.95,0,0,9.63,0,0,0,7.76,0,0,0,0.83,0.7,0,0,0,7.71,0,0,10.79,175.05,0,0.69,0.77,0,0,1.93,0,0,0,0,0,17.54,0,0,0.72,0,0
 36-46,0,0,0,0,3.11,0,0,36.19,0,0.57,0,5.56,0,0,0,0.77,0,0.74,7.13,0.86,17.65,0.77,0,2.95,146.84,3.04,0,0,0,0,5.2,0,0,0,0,0,39.54,0,0,2.45,0,0
 48-58,0,0,0,0,1.59,0,0,44.85,1.42,1.54,0,6.67,0,0.93,0,0,0,0.42,0,0,22.26,0,0.49,6.41,88.14,4.46,0,1.97,0,0,0.38,0,0,0.53,0,0,35.29,0,0,0.98,0,0
 60-70,0,0,0,0,4.13,0,0,55.07,0,0,1.18,11.22,0.62,0,5.93,5.75,0,0.69,0,0,19.15,0,0,0,100.69,0,0,0.89,0,1.22,4.32,0,0,0.93,0,0,17.82,0,0.65,0,0,0.77
 72-82,0,0,0,0,4.8,1.36,0,54.19,6.88,0,2.28,11.38,0,0,0,0,0,1.68,0.62,0,63.13,0,0.9,3.72,92.08,0.89,1.58,0.55,0,0,2.65,0,0,0,0,0,14.56,0.74,1.88,13.99,0,0
 84-94,0,0,0,0,7.14,0,0,32.41,0,0,0,17.04,0.57,0,0.66,2.23,0.86,0,0,0,30.91,0,0.56,3.64,48.46,0,1.04,1.26,0,0,8.79,0,0,0,0,0,21.82,0,0,6.09,0,0
 96-106,0,0,0,0,3.17,0.67,0,37.73,0,0,1.41,8.48,2.02,0,0.96,0,0.72,0,0,0.75,16.45,2.18,1.34,6.45,78.19,0,2.68,0,0,0,17.3,0,0,0,0,0,5.53,0,0,4.02,1.31,0
108-118,0,0,0,0,4.89,1.15,0.75,22.95,0,2.08,0.47,25.95,6.82,0,0,0,0.5,0.66,1.35,0,31.7,0,0,7.74,86.73,0,1,2.47,0,0,12.89,0,0,0,0.49,0,9.54,0,0,4.02,1.05,0
120,0,0,4.34,0,2.18,0,0,29.15,0,0,0,35.94,0,0,1.81,0,0,0,0,0,47.84,0,2.08,19.95,127.29,0,1.15,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
