stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,vasculature
  3-4,0,97.92,0,0,0,0,0,0,0,0,19.89,0
  5-6,7.04,25.42,0,0,0,0,0,8.55,0,0,0,0
  7-9,0,0,0,0,0,0,0,27.33,7.02,6.27,0,0
 10-12,0,0,0,0,0,0,0,3.53,0,15.19,0,0
 36-46,0,0,0,0,0,0,0,1.59,0,0,0,0
 48-58,0,0,5.23,0,0,0,1.12,0.77,0,0,0,0
 60-70,0,0,0,3.22,0,1.19,0,3.74,0,0,0,0
 84-94,0,0,0,0,1.22,0,0,0,0,0,0,1.4
 96-106,0,0,0,7.23,0,0,0,0,0,0,0,0
