stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,14.91,0,0,3.32,0,0,0,0,0
 14-21,0.85,1.08,0,0,0,0,0,0,0,2.9,1.4,0,0,2.7,0.91,0,0,0
 24-34,0,0,0,0,0,0,0,1.21,0,8.27,0,0,0,0,0,0,4.58,0
 36-46,0,0,0.62,0,0,0,1.95,0,0,15.37,0,0,0,0,0,0,0,0
 48-58,0,0,5.6,0,0,0,0,0,1.4,24.15,0,0,0,0,2.8,0,0,0
 60-70,0,0,6.08,0,1.42,0,0,0,0.73,33.64,0,0,0,0,7.73,0,0,0
 72-82,0,0,16.64,0,0,0.56,0,0,1.1,15.35,0,0,0,0,0,0,0,3.95
 84-94,0,0,12.28,0,0,0,0,0,0,9.69,0,0,0,0,0,1.07,0,7.11
 96-106,0,0,21.51,0.93,2.77,0,0,0,0.6,6.8,0,0.74,0,0,0.73,0,0,3.27
108-118,0,0,4.11,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,10.06
120,0,0,0,0,0,0,0,0,0,40.3,0,0,0,0,0,0,0,7.76
