stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.61,696.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.62,0,0,0,0,0,0,0,0,0
  5-6,24.14,380.29,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,24.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.77,26.68,0,24.32,0,0,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.39,21.1,0,0,100.61,0,0,19.9,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.34,0,6.22,0,67.29,0,0,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0,339,28.35,0,0,142.93,0,0,12.88,0,14.22,0,0,0,0,0,0
 14-21,0,0,0,0,12.3,0,0,1.02,0,0.87,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0.93,41.77,0.94,1.74,0,0.86,0,1.25,0.9,1.7,0,5.03,13.02,0,0,0,0
 24-34,0,0,0,0,7.62,0,0,5.22,0,0,0,4.26,0,0,1.92,0.8,0,0,0.81,0,0,9.33,0,0,6.94,173.64,0,7.86,0,0,0,7.59,0,0,0,2.61,44.09,0,5,0,0
 36-46,0,0,0,0,1.28,0,0,24.23,0,0.62,0,5,0,0,0,0,0.61,9.5,0,0,0,10.99,0,0,0.65,330.98,0.63,5.35,0,0,0,5.79,0,0,0,0,54.9,0,7.63,0,0
 48-58,0,0,0,0,3.77,0,0,70.74,2.19,0,0,5.71,0,0.48,0,0,0.5,0,0,0,4.96,12.32,0,0,7.4,359.01,0,5.4,1.05,6.64,0,6.14,0,0,0.73,0,68.33,0,0,0,3.64
 60-70,0,0,0,0,9.01,0,0,136.19,0,0,0,20.31,0,0,0,0.81,11.41,0,0.59,2.11,0,13.24,0,0,3.72,508.33,0,5.93,0,0,0,2.79,0,0,0,0,57.02,0,1.05,0.71,0
 72-82,0,0,0,0,3.05,0,0,101.23,0,0,0,5.4,0,0,0,0,0,0.93,0,0,2.9,20.51,0.58,0.76,2.86,367.55,0,10.35,1.21,0,1.12,0.93,0,0,0.64,0,40.86,0.87,4.56,2.22,0.74
 84-94,0,0,5.29,0,7.8,0.79,0,85.28,0,2.83,0.96,30.15,0,0,0,1.11,0,0,0,0,0,24.81,0,3.15,0.68,261.21,0,8.29,1.12,0,0,3.26,0,0,0,0,18.7,0.88,6.5,0,1.02
 96-106,0,0,0,0,9.05,0,1.52,76.24,0,0,0,9.76,0,0,0,1.01,0,0,0,4.97,0,37.06,0,6.39,1.72,226.56,0,16.92,0,0,2.84,3.86,0,0,0.6,0,17.61,0,6.52,0.67,0
108-118,0,0,1.12,0,6.08,0,1.64,63.05,0,0,0.52,28.2,1.84,0,8.2,0,0.8,1.61,0,0.7,1.61,26.31,0,1.04,0.45,272.94,0.77,6.31,0,0,0,3.99,0,0,0,0,10.18,1.06,3.13,0,0
120,0,0,0,0,11.51,0,0,151.32,0,2.21,6.27,46.47,2.52,0,0,0,0,0,0,0,0,27.51,0,0,0,417.27,6.22,8.69,0,0,0,0,0,0,0,0,0,11.26,4.18,4.69,0
