stage,axial,blastomeres,neural,notochord,paraxial_mesoderm,pronephros
  3-4,0,12.97,0,0,0,0
  5-6,0,27.46,15.92,0,0,0
  7-9,8.85,9.28,42.54,0,11.58,0
 10-12,0,0,0,3.71,12.15,8.97
