stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,neural,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0
 24-34,0,0,0,0,0,0,1.81,0,0,0,0,2.36,0,0,1.79,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0
 48-58,0,0,0,0,0.87,0,0,0,0,0,0,3.99,0,0,0.59,0,0,0,0
 60-70,0,0,0,0,0,0,0,6.47,0,8.73,0,17.98,0,0,0,0,0,0,0
 72-82,9.53,4.39,0,0,11.6,0,2.73,36.14,0,0,4.37,71.16,0,0,0,0,0,0,0
 84-94,11.76,1.9,0,0,21.82,0,0,101.14,0,0,1.49,52.99,0,0,0,0,0,4.5,2.1
 96-106,20.45,0,0.92,0,16.51,0,3.03,182.36,0.58,0,2.92,140.54,0.6,0,4.08,1.61,0.56,2.34,0.8
108-118,23.74,3.78,0,1.03,11.09,0.57,2.56,260.16,0,0,6.41,192.83,0,3.98,4.06,0,0,0,0
120,1.22,0,1.84,0,0,0,0,239.35,0,4.74,0,118.08,2.84,0,25.14,0,0,0,0
