stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.89,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.49,0,0,0,12.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,3.05,0,27.21,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,101.6,0.94,0,0,0,0,0,1.89,0,20.01,0,0,0,0,0
 24-34,0,0,0,0,0,0,223.65,0,0,0,1.96,0,0,0,0,0,0,0,1.34,0,1.25,199.54,0,0,2.48,1.99,0,0,0,0,24.09,0,0,0,0,0
 36-46,0,0,0,0,0,0,408.06,0,0,0,5.49,0,0,0,0,0,0,0,1.97,0,1.61,371.13,0,0,4.08,0,0,1.11,0,0,19.11,0,0,0,0,0
 48-58,0,0,0,0,1.74,0,960.74,2.34,5.62,0,26.21,0,0,4.19,0,0,0.47,0,8.68,0,0.82,582.59,0,3.55,0,0,0,7.35,0,0,49.19,0,0,0,0,2.69
 60-70,2.52,0,0,0,0,0,1816.21,0.63,0,1.06,44.95,0,3,0,0,0,0,0,17.43,4.22,2.84,640.31,0,0,1.99,0,0,2.85,0,0,87.74,0,0,0,0,0
 72-82,0,0,0,0,1.07,3.03,1857.22,0,0,1.54,70.72,0,0,0.87,0,0,0,0,28.67,1.97,1.45,599.76,0,0,0,0,0,1.3,0,0,59.65,0,1.46,0,6.86,0.52
 84-94,0,0,0,0,12.24,0,1278.63,0,0,1.18,93.65,1.32,0,0,0.56,9.57,0,0,20.04,0,6.17,364.73,0,0,0.97,0,0,5.71,0,0,39.84,0,0.63,1.18,1.56,0
 96-106,0,0,0.61,0,1.96,1.38,918.79,0,0,0,83.39,0.56,0.96,1.02,0,0,0,0,21.06,0.58,1.7,348.94,0,1.08,0,0,0,0,0,0,19.42,1.13,0,0,9.22,0
108-118,0,0,0,0,1.98,0,837.26,0,0,0,62.58,0,0,0,0,0.63,0.63,0.9,29.24,0,1.29,340.49,0,2.45,0,0,0.91,1.66,0,1.05,15.37,3.42,4.4,0.76,4.2,0
120,0,0,0,0,8.96,0,630.99,0,0,5.84,81.24,0,4.26,0,0,0,0,0,36.09,10.11,0,527.12,0,0,1.66,0,0,0,0,0,4.81,0,0,0,5.45,0
