stage,axial,blastomeres,endoderm,eye,gut,neural,paraxial_mesoderm,periderm,pgc
  3-4,13.35,788.39,0,0,0,0,0,22.43,0
  5-6,13.05,482.07,0,0,0,9.62,0,8.81,0
  7-9,8.92,0,9.58,19.87,0,167.86,58.51,4.29,9.83
 10-12,0,0,0,0,0,29.34,3.04,0,0
 14-21,0,0,0,0,1.4,1.11,0,0,0
