stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,xanthophores
  3-4,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.94,0,0,0,0,3.96,0,0,0,0,0.92,0,0
 24-34,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0.6,0.79,0,0
 36-46,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.62,0,0.45,3.11,0.41,0,0,0,0.56,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.06,12.91,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.89,0,47.9,1.74,0,0,0,4.93,0,0,0,0.49,0,0,0
 84-94,0,0,0,1.1,0,1.87,0,1.37,71.47,0,0,0,1.32,16.75,0,0,0,2.31,0,0,0
 96-106,0,0.92,0,8.63,0,0,1.66,3.17,236.87,8.07,0,0,1.65,45.01,0,8.13,12.5,1.98,0,0.67,0
108-118,0,0,0.72,5.17,0.55,0.67,0,2.39,346.89,4.44,3.95,2.23,0,19.35,0,0,0.44,0,0,0,0
120,0,0,0,13.21,0,0,0,0,179,0,0,0,0,43.1,0,0,1.11,1.04,0,0,13.04
