stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,22.06,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,10.66,3.76,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,15.99,0,0,0,0,0,0
 14-21,0,0,0.82,2.28,0,0,0,0,0,0,0.86,0,0,0,0,1.18,0,0,0,0,2.19,1.05,1.71,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.42,0,1.19,0,7.72,0,1.01,1.12,0,8.86,0,0,0.92,0,0
 36-46,0,0,0,0,0,0.72,0,0,0,0,0,0.61,0,0,7.5,0,0,0.61,0,4.05,0,0,3.24,0,0
 48-58,0,0,0,2.81,0,4.08,0,0,0,0,0,0,0.56,0,14.79,0,0.55,0,0,0.95,0,0,1.95,0,1.3
 60-70,0,0,0,0,0,1.17,0,0.87,0,0,0,0.63,0.7,1.27,13.89,0,0,0,0,0.96,0,0,0,0,0
 72-82,0,0,0,0.69,0,0,0,0,0,0,0.52,0.63,0,0,23.83,0,2.23,0,0,5.13,0,0,0,0,0
 84-94,0,0,0,0,0,0.86,0,0,0,2.12,0.6,0,0,0,5.02,0,2.32,1.04,0,12.49,0,0,1.28,1.5,0
 96-106,0,0,0,5.21,9.83,0,0,0.78,0.9,0,0.98,3.01,0,0,16.81,0,2.71,0,0,4.93,0,0,0,0,0
108-118,0,0,0,1.06,0,0,0.52,0,4.75,1.91,1.02,1.59,0.78,2.01,5.4,0,0.83,1.37,0,1.68,0,0,0,1.7,1.48
120,0,0,0,1.85,0,5.23,0,0,0,3,0,1.69,0,0,19.67,0,0,0,0,0,0,0,0,0,0
