stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.99,0,0,0,0,0,18.07,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,189.95,0,0,0,56.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,23.28,0,30.34,0,0,0,38.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.78,3.54,0,0,54.81,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,6,1.04,12.13,0.89,0,4.49,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,164.87,0,8.31,0,3.34,0,1.31,0,1.37,0,72.72,0,0,0,0,0
 24-34,0,1.37,0,1.32,0,0,8.09,0,0,0,7.34,0,0,0,0,1.44,0,0,0,2.57,7.13,0,0,0.89,786.57,0,56.32,0.71,0,0,0,0.71,1.45,0,173.07,0,0,0,0,0
 36-46,0,0.78,0,2.95,6.02,0,42.42,0,0,2.15,9.28,0,0,0,0,0,0,0,0,0,5.6,0,0,0,2127.52,1.44,29.07,0,0,0,0,0,0,0,344.73,0,0,8.2,0,0
 48-58,0,1.93,0,5.59,0,0,312.99,0.88,0,0,44.11,0,0,0.4,0.71,0.48,0.92,0,2.86,7.45,19.2,0,0,3.46,3211.86,5.81,28.35,7.16,0,2.69,0,0,0.53,0,440.58,0,0,0.62,0,0
 60-70,0,0,0,3.3,0,0,605.93,0,0,0.84,71.52,0,0,0.66,0,2.9,0,0,0,0,39.51,0,0,0,2925.3,8.26,13.8,2.07,0,0,0,0,1.67,0,356.83,0,0,0,0,0
 72-82,0,0,0,8.83,2.34,0,735.04,0.9,0,5.23,90.56,2.8,0,0,0,0,0,0,0,0,37.68,0,0,0,2244.02,0,31.28,3.79,0,1.45,0,0,0.97,0,151.39,0.94,0,6.09,0,0
 84-94,0,0,0,10.59,2.14,0,441.54,0,0,0.77,69.62,6.29,0,0,1.28,1.25,0,0,0,0,36.54,0,0.6,3.65,1463.21,0,6.77,2.55,0,1.27,0,0,0,0,138.27,0,2.73,1.18,0.62,0
 96-106,0,3.54,0,6.31,14.6,0,415,0,0,3.13,60.66,1.03,0,0,0,4.42,0,0,12.41,0,23.87,2.99,1.29,0,1107.45,0,11.91,2.82,0,5.47,0,0,0,0,59.89,0.83,1.26,0,0.96,9.11
108-118,0,2.14,0,14.55,3.97,1.73,413.01,0,0.5,0,63.36,0,0,0,3.01,2.1,0.42,0,0.46,0,11.26,0,0,1.38,1194.79,0,6.04,0,0,0.93,0,0,1.91,0,31.66,2.15,0,1.08,0,4.66
120,0,2.96,0,12.68,14.43,0,348.8,0,1.16,0,91.34,2.64,0,0,8.18,2.21,0,1.69,0,0,19.16,0,0,3.2,1814.77,0,11.51,6.98,0,7.78,2.5,0,0,1.63,51.99,11.99,0,0,0,0
