stage,epidermis,erythrocytes,fin_epithelia,gut,immune,mesenchyme,neural,periderm,spinal_cord,taste,vasculature
 14-21,4.25,1.84,0,0,0,0,0,0,1.11,0,0
 24-34,0,0,0,0,0.78,0,0.9,0,0,0,0
 36-46,0,0,0,0,0.78,0,0,0,0,0,0
 48-58,0,0,0,0,7.36,1.22,0,0,0,0,0.43
 60-70,0,0,0,0,14.92,0,2.41,0,0,0,0
 72-82,0,0,0,0,15.56,0,4.36,0,0,2.03,0
 84-94,2.15,0,0,0,17.92,0,0,0,0,0,0
 96-106,0,0,0.62,0.56,41.34,0,0,0,0,2.84,0
108-118,0,0,0,5.07,27.59,0,7.93,0.92,0,2.19,0
120,0,0,0,0,107.95,1.3,0,1.57,0,0,0
